//Golden Streams|~~|nn nnps|~~|1/1 1|~~|0 0
And when I freeze, I know they're watching me|~~|cc wrb nnp nn , nnp vb nn vbg prp|~~|1 1 1 1 , 1 1 1 1/0 1|~~|47 9 57 0 0 57 4 0 0 14
Forever now, we will always move|~~|rb rb , prp md rb nn|~~|0/1/0 1 , 1 1 1/1 1|~~|0 0 0 23 10 1 6
Another scream for the love in bloom|~~|dt nn in dt nn in nn|~~|0/1/0 1 1 0 1 0 1|~~|0 1 16 89 2 38 0
And when I thaw you'll hear me howl to the moon|~~|cc wrb nnp nn nn vb prp nn to dt nn|~~||~~|47 9 57 0 1 0 14 0 51 89 0
You'll circle me and I'll circle you|~~|nnp nn prp cc nnp nn prp|~~||~~|1 0 14 47 6 0 19
Bursting in and then the folly that|~~|vbg in cc rb dt rb in|~~|1/0 0 1 1 0 1/0 1|~~|0 38 47 6 89 1 15
|~~||~~||~~|
Love wanes|~~|nnp vbz|~~|1 1|~~|2 0
Away|~~|rb|~~|0/1|~~|2
Lest you wait,|~~|in prp vb ,|~~|1 1 1 ,|~~|0 19 4 0
Await|~~|vb|~~|0/1|~~|0
|~~||~~||~~|
Our love is deep when the ice has gone|~~|prp$ nn vbz jj wrb dt nn vbz vbn|~~|1/0 1 1 1 1 0 1 1 1|~~|8 2 15 0 9 89 1 0 0
Up to our waists wet from the thaw|~~|in to prp$ nns jj in dt nn|~~|1 1 1/0 1 1 1 0 1|~~|3 51 8 0 0 13 89 0
Will make a man out of the lonely boy|~~|md vb dt nn in in dt rb nn|~~|1 1 1 1 1 1 0 1/0 1|~~|10 1 43 2 5 26 89 0 4
I'll never see, it will be obvious|~~|nnp rb vb , prp md vb jj|~~|1 1/0 1 , 1 1 1 1/0/0|~~|6 0 3 0 11 10 46 0
And when we know we will overflow|~~|cc wrb prp vb prp md nn|~~|1 1 1 1 1 1 1/0/1|~~|47 9 23 4 23 10 0
We never knew we'd walk right off the plank,|~~|prp rb vbd nn vb nn in dt nn ,|~~|1 1/0 1 1 1 1 1 0 1 ,|~~|23 0 0 0 12 1 0 89 0 0
Hold onto me as we fall away|~~|vb in prp in prp nn rb|~~|1 1/0 1 1 1 1 0/1|~~|4 0 14 7 23 0 2
Plunge into the blue and have a crutch or two|~~|nnp in dt jj cc vbp dt nn cc cd|~~|1 0/1 0 1 1 1 1 1 1 0|~~|0 4 89 7 47 5 43 0 6 0
|~~||~~||~~|
or two|~~|cc cd|~~|1 0|~~|6 0
The moon wanes|~~|dt nn vbz|~~|0 1 1|~~|89 0 0
Away|~~|rb|~~|0/1|~~|2
|~~||~~||~~|
// Heavy Flow of Evil|~~|nn jj nnp in jj|~~|// 1/0 1 1 1/0|~~|0 0 0 26 1
|~~||~~||~~|
Heavy flow of evil|~~|jj nn in jj|~~|1/0 1 1 1/0|~~|0 0 26 1
I may be thin I may be old but I don’t know|~~|nnp md vb jj nnp md vb jj cc nnp nn vb|~~|1 1 1 1 1 1 1 1 1 1 1 1|~~|57 3 46 0 57 3 46 4 5 57 7 4
If I can recognize I’m all holes, the holy holes of evil|~~|in nnp md vb nnp dt nns , dt rb nns in jj|~~|1 1 1 1/0/1 1 1 1 , 0 1/0 1 1 1/0|~~|12 57 7 0 8 15 0 0 89 1 0 26 1
|~~||~~||~~|
Take on hate with talk and song and flames|~~|vb in vbp in vb cc nn cc nns|~~|1 1 1 1 1 1 1 1 1|~~|4 29 0 13 3 47 0 47 0
Feed into their mouths a cake we baked with help|~~|vbn in prp$ nns dt nn prp jj in vb|~~|1 0/1 1 1 1 1 1 1 1 1|~~|0 4 1 0 43 0 23 0 13 0
|~~||~~||~~|
Heavy flow of evil|~~|jj nn in jj|~~|1/0 1 1 1/0|~~|0 0 26 1
It’s in the air it’s in the bones but I don’t know|~~|nnps in dt nn nns in dt nns cc nnp nn vb|~~|1 0 0 1 1 0 0 1 1 1 1 1|~~|2 38 89 0 2 38 89 2 5 57 7 4
Recognize the deep low, the last low|~~|vb dt jj jj , dt jj jj|~~|1/0/1 0 1 1 , 0 1 1|~~|0 89 0 0 0 89 0 0
The lonely low the lowly low of evil|~~|dt rb jj dt rb jj in jj|~~|0 1/0 1 0 1/0 1 1 1/0|~~|89 0 0 89 0 0 26 1
|~~||~~||~~|
Set off trailing but to occupy the way|~~|vbn in vbg cc to vb dt nn|~~|1 1 1/0 1 1 1/0/1 0 1|~~|0 0 0 5 51 0 89 5
Colours from your mouth a black rainbow that melts |~~|nnps in prp$ nn dt jj nn in vbz|~~|1/1/1 1 1 1 1 1 1/1 1 1|~~|0 13 26 1 43 0 0 15 0
|~~||~~||~~|
Heavy flow of evil|~~|jj nn in jj|~~|1/0 1 1 1/0|~~|0 0 26 1
I may be Jim I may be Joe but I don’t know|~~|nnp md vb nnp nnp md vb nnp cc nnp nn vb|~~|1 1 1 1 1 1 1 1 1 1 1 1|~~|57 3 46 0 57 3 46 0 5 57 7 4
Recognize the last whore, the boney ghost of a whore that is evil|~~|vb dt jj nn , dt nn nn in dt nn in vbz jj|~~|1/0/1 0 1 1 , 0 1/1 1 1 1 1 1 1 1/0|~~|0 89 0 7 0 89 0 1 26 43 7 15 15 1
//Steal all you can motherfucker|~~|jj dt prp md nn|~~|1 1 1 1 1/1/1/1|~~|1 15 19 7 0
And me myself thought never it’th|~~|cc prp prp vbd rb nn|~~|1 1 1/1 1 1/0 1|~~|47 14 0 3 0 0
Beneath my head|~~|in prp$ nn|~~|0/1 1 1|~~|0 22 3
To follow my hands and favour|~~|to vb prp$ nns cc nn|~~|1 1/0 1 1 1 1/0|~~|51 2 22 1 47 1
Mine over theirs|~~|nnp in prp|~~|1 1/0 1|~~|1 0 0
Steal all you can motherfucker|~~|vb dt prp md nn|~~|1 1 1 1 1/1/1/1|~~|1 15 19 7 0
Steal all you can|~~|vb dt prp md|~~|1 1 1 1|~~|1 15 19 7
No day like this big brother|~~|dt nn in dt jj nn|~~|1 1 1 1 1 1/0|~~|5 4 5 5 8 0
Steal all you can|~~|vb dt prp md|~~|1 1 1 1|~~|1 15 19 7
Thine love was fields of poppies|~~|jj nn vbd nns in nns|~~|1 1 1 1 1 1/0|~~|0 2 4 0 26 0
Blessed are the dead|~~|vbn vbp dt jj|~~|1 1 0 1|~~|0 3 89 0
Stealing kisses became the objective|~~|vbg nns vbd dt nn|~~|1/0 1/0 0/1 0 0/1/0|~~|0 0 0 89 0
Love became theft|~~|nnp vbd nn|~~|1 0/1 1|~~|2 0 0
Steal all you can motherfucker|~~|vb dt prp md nn|~~|1 1 1 1 1/1/1/1|~~|1 15 19 7 0
Steal all you can|~~|vb dt prp md|~~|1 1 1 1|~~|1 15 19 7
No love like this big brother|~~|dt nn in dt jj nn|~~|1 1 1 1 1 1/0|~~|5 2 5 5 8 0
No love like theft|~~|dt nn in nn|~~|1 1 1 1|~~|5 2 5 0
Paid for by education|~~|vbn in in nn|~~|1 1 1 1/0/1/0|~~|0 16 6 0
Idle minds attentive to the lessons|~~|jj nns jj to dt nns|~~|1/0 1 0/1/0 1 0 1/0|~~|0 0 0 51 89 0
We don’t need facts we wish to |~~|prp nn vbn nns prp vbp to|~~|1 1 1 1 1 1 1|~~|23 7 4 0 23 0 51
kill big business dead|~~|vb jj nn jj|~~|1 1 1/0 1|~~|0 8 0 0
Steal all you can motherfucker|~~|vb dt prp md nn|~~|1 1 1 1 1/1/1/1|~~|1 15 19 7 0
Steal all you can|~~|vb dt prp md|~~|1 1 1 1|~~|1 15 19 7
No faith like this big brother|~~|dt nn in dt jj nn|~~|1 1 1 1 1 1/0|~~|5 0 5 5 8 0
Big sister’s dead|~~|jj nns jj|~~|1 1/1 1|~~|8 0 0
The waste of education pollutes my head|~~|dt nn in nn nns prp$ nn|~~|0 1 1 1/0/1/0 1/1 1 1|~~|89 0 26 0 0 22 3
There’s gonna be a world war|~~|nnps nn to vb dt nn nn|~~|1/1 1 1 1 1 1 1|~~|1 0 5 46 43 7 0
Bread stealers win|~~|nnp nns vb|~~|1 1/1 1|~~|1 0 0
So steal all you can motherfuck|~~|rb vb dt prp md nn|~~|1 1 1 1 1 1/1/1|~~|1 1 15 19 7 0
Steal all you can|~~|vb dt prp md|~~|1 1 1 1|~~|1 15 19 7
No virtue as this motherfucker|~~|dt nn in dt nn|~~|1 1/0 1 1 1/1/1/1|~~|5 0 7 5 0
The bread eater will|~~|dt nn nn md|~~|0 1 1/1 1|~~|89 1 0 10
|~~||~~||~~|
//Worms cannot swim not cant hey walk|~~|nns md rb vb rb nn uh vb|~~|1 1 1 1 1 1 1 1|~~|3 7 14 0 14 0 1 12
Dancing on shallow water|~~|vbg in jj nn|~~|1/0 1 1/0 1/0|~~|0 29 0 0
We hold our breath|~~|prp vb prp$ nn|~~|1 1 1/0 1|~~|23 4 8 0
Sunday is the day that it comes|~~|nnp vbz dt nn in prp vbz|~~|1/1 1 0 1 1 1 1|~~|0 15 89 4 15 11 2
We will have bread we will have bread|~~|prp md vbp nn prp md vbp nn|~~|1 1 1 1 1 1 1 1|~~|23 10 5 1 23 10 5 1
Standing still on shallow water|~~|vbg rb in jj nn|~~|1/0 1 1 1/0 1/0|~~|1 0 29 0 0
Hope against hope|~~|nnp in nn|~~|1 0/1 1|~~|8 0 8
Trading life for heaps of fun|~~|vbg nn in nns in nn|~~|1/0 1 1 1 1 1|~~|0 3 16 0 26 0
You hold my breath I hold you breast|~~|prp vb prp$ nn nnp vb prp nn|~~|1 1 1 1 1 1 1 1|~~|19 4 22 0 57 4 19 0
Carrying the weight of the world|~~|vbg dt nn in dt nn|~~|1/0/0 0 1 1 0 1|~~|0 89 0 26 89 7
We will have fun we will have fun|~~|prp md vbp nn prp md vbp nn|~~|1 1 1 1 1 1 1 1|~~|23 10 5 0 23 10 5 0
I can't afford to walk deep waters still|~~|nnp nn vb to vb jj nns rb|~~|1 1 0/1 1 1 1 1/0 1|~~|57 0 0 51 12 0 0 0
Fish nibble toes and I swim like a worm in clothes|~~|nnp vb nns cc nnp vb in dt nn in nns|~~|1 1/0 1 1 1 1 1 1 1 0 1|~~|0 0 0 47 57 0 5 43 0 38 0
When I was 21 I was an open receiver|~~|wrb nnp vbd cd nnp vbd dt jj nn|~~|1 1 1 21 1 1 1 1/0 0/1/0|~~|9 57 4 0 57 4 6 0 0
Later I’m just dead but I walk like a true believer|~~|rb nnp rb jj cc nnp vb in dt jj nn|~~|1/0 1 1 1 1 1 1 1 1 1 0/1/0|~~|0 8 9 0 5 57 12 5 43 0 0
Kissing an old skull in summer|~~|vbg dt jj nn in nn|~~|1/0 1 1 1 0 1/0|~~|0 6 4 0 38 0
Gives my life a home|~~|vbz prp$ nn dt nn|~~|1 1 1 1 1|~~|1 22 3 43 3
The closer I can get to my home|~~|dt jjr nnp md vb to prp$ nn|~~|0 1/0 1 1 1 1 1 1|~~|89 0 57 7 0 51 22 3
I will be dead I will be dead|~~|nnp md vb jj nnp md vb jj|~~|1 1 1 1 1 1 1 1|~~|57 10 46 0 57 10 46 0
Kissing you when I have the great hunger|~~|vbg prp wrb nnp vbp dt jj nn|~~|1/0 1 1 1 1 0 1 1/0|~~|0 19 9 57 5 89 0 0
Sends my home to hell|~~|vbz prp$ nn to nn|~~|1 1 1 1 1|~~|0 22 3 51 2
Sunday is the day that I come|~~|nnp vbz dt nn in nnp vb|~~|1/1 1 0 1 1 1 1|~~|0 15 89 4 15 57 7
I will make bread I will bake you bread|~~|nnp md vb nn nnp md jj prp nn|~~|1 1 1 1 1 1 1 1 1|~~|57 10 1 1 57 10 0 19 1
Sunday is the day that I come |~~|nnp vbz dt nn in nnp vb|~~|1/1 1 0 1 1 1 1|~~|0 15 89 4 15 57 7
I will make bread I will bake you bread|~~|nnp md vb nn nnp md jj prp nn|~~|1 1 1 1 1 1 1 1 1|~~|57 10 1 1 57 10 0 19 1
I can’t afford to walk the deep waters still|~~|nnp nn vb to vb dt jj nns rb|~~|1 1 0/1 1 1 0 1 1/0 1|~~|57 0 0 51 12 89 0 0 0
My flight as flown o’er waters black and cold|~~|prp$ nn in vbn nn nns jj cc jj|~~|1 1 1 1 1/1 1/0 1 1 1|~~|22 0 7 0 0 0 0 47 0
My dance is a full redeemer|~~|prp$ nn vbz dt jj nn|~~|1 1 1 1 1 1/1/1|~~|22 0 15 43 0 0
Until my worm has walked it will be a full redeemer |~~|in prp$ nn vbz vbd prp md vb dt jj nn|~~|0/1 1 1 1 1 1 1 1 1 1 1/1/1|~~|1 22 0 0 0 11 10 46 43 0 0
I can’t afford to walk deep waters still |~~|nnp nn vb to vb jj nns rb  |~~|1 1 0/1 1 1 1 1/0 1  |~~|57 0 0 51 12 0 0 0 0
My flight as flown o’er waters black and cold|~~|prp$ nn in vbn nn nns jj cc jj|~~|1 1 1 1 1/1 1/0 1 1 1|~~|22 0 7 0 0 0 0 47 0
I sweat a storm|~~|nnp nn dt nn|~~|1 1 1 1|~~|57 0 43 0
My dance is a full redeemer|~~|prp$ nn vbz dt jj nn|~~|1 1 1 1 1 1/1/1|~~|22 0 15 43 0 0
Until my worm has walked it will be a full redeemer|~~|in prp$ nn vbz vbd prp md vb dt jj nn|~~|0/1 1 1 1 1 1 1 1 1 1 1/1/1|~~|1 22 0 0 0 11 10 46 43 0 0
//Mind, Matter and Waste|~~|nn , nnp cc nnp|~~|1 , 1/0 1 1|~~|5 0 0 47 0
|~~||~~||~~|
Give me the sensitivity to mind what I do and say|~~|vb prp dt nn to nn wp nnp vbp cc vbp|~~|1 1 0 1/0/1/0/0 1 1 1 1 1 1 1|~~|1 14 89 0 51 5 9 57 14 47 1
Free me from the matter of everything, that smile is your disease|~~|jj prp in dt nn in nn , in nn vbz prp$ nn|~~|1 1 1 0 1/0 1 1/0/1 , 1 1 1 1 0/1|~~|2 14 13 89 0 26 0 0 15 0 15 26 0
Give me the greatest tragedy so I can hold it and waste in my memory|~~|vb prp dt jjs nn rb nnp md vb prp cc nn in prp$ nn|~~|1 1 0 1/0 1/0/0 1 1 1 1 1 1 1 0 1 1/0/0|~~|1 14 89 0 0 1 57 7 4 11 47 0 38 22 0
|~~||~~||~~|
Mind Matter and Waste|~~|nnp nnp cc nnp|~~|1 1/0 1 1|~~|5 0 47 0
Mind Matter and Waste|~~|nnp nnp cc nnp|~~|1 1/0 1 1|~~|5 0 47 0
|~~||~~||~~|
Give me a common enemy to face the coming of defeat|~~|vb prp dt jj nn to nn dt vbg in nn|~~|1 1 1 1/0 1/0/0 1 1 0 1/0 1 0/1|~~|1 14 43 0 0 51 1 89 0 26 0
Bring me to that moment of clarity: mind, matter and waste|~~|vb prp to in nn in nn : nn , nn cc nn|~~|1 1 1 1 1/0 1 1/0/0 : 1 , 1/0 1 1|~~|0 14 51 15 1 26 0 0 5 0 0 47 0
|~~||~~||~~|
Mind Matter and Waste|~~|nnp nnp cc nnp|~~|1 1/0 1 1|~~|5 0 47 0
Mind Matter and Waste|~~|nnp nnp cc nnp|~~|1 1/0 1 1|~~|5 0 47 0
Mind Matter and Waste|~~|nnp nnp cc nnp|~~|1 1/0 1 1|~~|5 0 47 0
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
//She’s Gone|~~|nns vbn|~~|1 1|~~|0 0
|~~||~~||~~|
Sitting alone, I feel dread|~~|vbg rb , nnp vb nn|~~|1/0 0/1 , 1 1 1|~~|0 0 0 57 1 0
But I feel the life-blood in my head|~~|cc nnp vb dt nn in prp$ nn|~~|1 1 1 0 1/1 0 1 1|~~|5 57 1 89 0 38 22 3
Looking down at myself from above|~~|vbg rb in prp in in|~~|1/0 1 1 1/1 1 0/1|~~|0 0 8 0 13 0
I can see that my shadow is stalking|~~|nnp md vb in prp$ nn vbz vbg|~~|1 1 1 1 1 1/1 1 1/0|~~|57 7 3 15 22 0 15 0
|~~||~~||~~|
She’s gone again |~~|nnps vbn rb|~~|1 1 0/1|~~|0 0 0
|~~||~~||~~|
In the grass, I feel warm |~~|in dt nn , nnp vb jj|~~|0 0 1 , 1 1 1|~~|38 89 0 0 57 1 0
Laying low with my head up|~~|vbg jj in prp$ nn in|~~|1/0 1 1 1 1 1|~~|0 0 13 22 3 3
Eyes open wide, eyes to the moon|~~|nnps jj jj , nns to dt nn|~~|1 1/0 1 , 1 1 0 1|~~|2 0 0 0 2 51 89 0
She’s ready to be with you|~~|nnps jj to vb in prp|~~|1 1/0 1 1 1 1|~~|0 0 51 46 13 19
|~~||~~||~~|
She’s gone again|~~|nnps vbn rb|~~|1 1 0/1|~~|0 0 0
|~~||~~||~~|
Get to my feet and hit the road|~~|vb to prp$ nns cc vbd dt nn|~~|1 1 1 1 1 1 0 1|~~|0 51 22 2 47 0 89 0
I feel better when I’m moving on|~~|nnp vb jjr wrb nnp vbg in|~~|1 1 1/0 1 1 1/0 1|~~|57 1 0 9 8 0 29
Escape the grimace of my shadow|~~|vb dt nn in prp$ nn|~~|0/1 0 1/1 1 1 1/1|~~|0 89 0 26 22 0
I will be gone before even it knows that|~~|nnp md vb vbn in rb prp vbz in|~~|1 1 1 1 0/1 1/0 1 1 1|~~|57 10 46 0 0 0 11 0 15
|~~||~~||~~|
She’s gone and I’m never gonna see her face again|~~|nnps vbn cc nnp rb nn to vb prp$ nn rb|~~|1 1 1 1 1/0 1 1 1 0 1 0/1|~~|0 0 47 8 0 0 5 3 0 1 0
She’s gone again|~~|nnps vbn rb|~~|1 1 0/1|~~|0 0 0
|~~||~~||~~|
Life imitates the forms we make|~~|nnp vbz dt nns prp vb|~~|1 1/0/1 0 1 1 1|~~|3 0 89 0 23 1
And so we fall into the vein|~~|cc rb prp nn in dt nn|~~|1 1 1 1 0/1 0 1|~~|47 1 23 0 4 89 0
Eyes fold to the moon above|~~|nnps vb to dt nn in|~~|1 1 1 0 1 0/1|~~|2 1 51 89 0 0
I see a face I hear a song|~~|nnp vb dt nn nnp vb dt nn|~~|1 1 1 1 1 1 1 1|~~|57 3 43 1 57 0 43 0
|~~||~~||~~|
She’s gone and I’m never going to see her face again|~~|nnps vbn cc nnp rb vbg to vb prp$ nn rb|~~|1 1 1 1 1/0 1/0 1 1 0 1 0/1|~~|0 0 47 8 0 2 51 3 0 1 0
She’s gone away|~~|nnps vbn rb|~~|1 1 0/1|~~|0 0 2
|~~||~~||~~|
In the future we will overcome|~~|in dt nn prp md vb|~~|0 0 1/0 1 1 1/0/1|~~|38 89 0 23 10 0
The fear of anchoring into love|~~|dt nn in vbg in nn|~~|0 1 1 1/0/0 0/1 1|~~|89 0 26 0 4 2
Could be the first time, it could be anywhere|~~|md vb dt nn nn , prp md vb rb|~~|1 1 0 1 1 , 1 1 1 1/0/1|~~|1 46 89 2 5 0 11 1 46 0
I should be able if my will is there|~~|nnp md vb jj in prp$ md vbz ex|~~|1 1 1 1/0 1 1 1 1 1|~~|57 0 46 1 12 22 10 15 2
|~~||~~||~~|
She’s gone and I’ll never see her back around here again|~~|nnps vbn cc nnp rb vb prp$ rb in rb rb|~~|1 1 1 1 1/0 1 0 1 0/1 1 0/1|~~|0 0 47 6 0 3 0 3 0 3 0
She’s gone again|~~|nnps vbn rb|~~|1 1 0/1|~~|0 0 0
|~~||~~||~~|
Rub my eyes for a second glance|~~|nnp prp$ nns in dt nn nn|~~|1 1 1 1 1 1/1 1|~~|0 22 2 16 43 0 0
As I move on I feel it enhance|~~|in nnp nn in nnp vb prp vb|~~|1 1 1 1 1 1 1 0/1|~~|7 57 6 29 57 1 11 0
I take the place of my shadow|~~|nnp vb dt nn in prp$ nn|~~|1 1 0 1 1 1 1/1|~~|57 4 89 0 26 22 0
Moving about without letting anyone know|~~|vbg in in vbg nn vb|~~|1/0 0/1 0/1 1/0 1/0/1 1|~~|0 2 0 0 1 4
|~~||~~||~~|
She’s gone and I’ll never see her back around here again|~~|nnps vbn cc nnp rb vb prp$ rb in rb rb|~~|1 1 1 1 1/0 1 0 1 0/1 1 0/1|~~|0 0 47 6 0 3 0 3 0 3 0
She’s gone again|~~|nnps vbn rb|~~|1 1 0/1|~~|0 0 0
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
//Lollipop|~~|nn|~~|1/1/1|~~|8
|~~||~~||~~|
In the name of callous talk:|~~|in dt nn in jj vb :|~~|0 0 1 1 1/0 1 :|~~|38 89 2 26 0 3 0
This unborn age has reached its botch|~~|dt jj nn vbz vbn prp$ nn|~~|1 1/1 1 1 1 1 1|~~|5 0 2 0 0 2 0
Lollipop, Lollipop|~~|nnp , nnp|~~|1/0/1 , 1/0/1|~~|8 0 8
|~~||~~||~~|
Mouth of salivatng froth, thy stomach does as stomach wants, contagious every single suck, the flavour takes it, takes its time|~~|nnp in nn nn , jj nn vbz in nn vbz , jj dt jj vb , dt nn vbz prp , vbz prp$ nn|~~|1 1 1/1/1 1 , 1 1/0 1 1 1/0 1 , 0/1/0 1/0/0 1/0 1 , 0 1/1 1 1 , 1 1 1|~~|1 26 0 0 0 0 1 3 7 1 0 0 0 2 5 1 0 89 0 2 11 0 2 2 5
|~~||~~||~~|
Lollipop, Lollipop|~~|nnp , nnp|~~|1/0/1 , 1/0/1|~~|8 0 8
|~~||~~||~~|
Can't contain the nervousness that creeps into the loins of us. Our fate concieved of block by block and word for word we walk the talk, hapless, every single one of us, we favour this in the ways that we waver.|~~|nnp vb dt nn in vbz in dt nns in prp . prp$ nn vbn in nn in nn cc nn in nn prp vb dt nn , jj , dt jj cd in prp , prp nn dt in dt nns in prp vbp .|~~|1 0/1 0 1/0/0 1 1 0/1 0 1 1 1 . 1/0 1 1/1 1 1 1 1 1 1 1 1 1 1 0 1 , 1/0 , 1/0/0 1/0 1 1 1 , 1 1/0 1 0 0 1 1 1 1/0 .|~~|0 0 89 0 15 0 4 89 0 26 1 0 8 3 1 26 2 6 2 47 3 16 3 23 12 89 3 0 1 0 2 5 6 26 1 0 23 1 5 38 89 1 15 23 1 0
|~~||~~||~~|
Lollipop, Lollipop|~~|nnp , nnp|~~|1/0/1 , 1/0/1|~~|8 0 8
|~~||~~||~~|
Hazing is punch or to be punched, we whimper what we have not fought, the body bruised, our fingers fraught, we want lollipops to be our bread and bacon, in out blood and our bones, our brothers to be naked with, terrify, although our words will be vacant, in the same of talk and this godless creation.|~~|nnp vbz nn cc to vb vbd , prp nn wp prp vbp rb vbd , dt nn vbn , prp$ nns jj , prp vbp nns to vb prp$ nn cc nn , in in nn cc prp$ nns , prp$ nns to vb jj in , vb , in prp$ nns md vb jj , in dt jj in vb cc dt jj nn .|~~|1/1 1 1 1 1 1 1 , 1 1/0 1 1 1 1 1 , 0 1/0 1 , 1/0 1/0 1 , 1 1 1/1/1 1 1 1/0 1 1 1/0 , 0 1 1 1 1/0 1 , 1/0 1/0 1 1 1/0 1 , 1/0/1 , 1/1 1/0 1 1 1 1/0 , 0 0 1 1 1 1 1 1/0 0/1/0 .|~~|1 15 1 6 51 46 1 0 23 1 9 23 5 14 1 0 89 1 1 0 8 1 1 0 23 13 2 51 46 8 1 47 1 0 38 5 2 47 8 2 0 8 1 51 46 1 13 0 1 0 1 8 1 10 46 1 0 38 89 1 26 3 47 5 1 1 0
|~~||~~||~~|
Lollipop, Lollipop|~~|nnp , nnp|~~|1/0/1 , 1/0/1|~~|8 0 8
|~~||~~||~~|
Turning into sand|~~|vbg in nn|~~|1/0 0/1 1|~~|1 4 1
the incredulous man|~~|dt nns nn|~~|0 1/1/1/1 1|~~|89 1 2
stumbles as he glances back|~~|vbz in prp vbz rb|~~|1/0 1 1 1/0 1|~~|1 7 21 1 3
the harrowing way.|~~|dt jj nn .|~~|0 1/0/0 1 .|~~|89 1 5 0
|~~||~~||~~|
Lollipop, Lollipop, Lollipop, Lollipop|~~|nnp , nnp , nnp , nnp|~~|1/0/1 , 1/0/1 , 1/0/1 , 1/0/1|~~|8 0 8 0 8 0 8
|~~||~~||~~|
Face concealed by camera watch with sweaty paws and a stomach knotted by thoughts of lollipops, stick into a hot sticky mass in the pockets of the pants worn leaving the shop, with a skip and a hop, what a bim what a bop, what a bim what a bop what a bim, what a bop, bop pop.|~~|nnp vbn in nn vb in jj nns cc dt nn jj in nns in nns , vb in dt jj jj nn in dt nns in dt nns vbn vbg dt nn , in dt nn cc dt nn , wp dt nn wp dt nn , wp dt nn wp dt nn wp dt nn , wp dt nn , nn nn .|~~|1 0/1 1 1/0/0 1 1 1/0 1 1 1 1/0 1/0 1 1 1 1/1/1 , 1 0/1 1 1 1/0 1 0 0 1/0 1 0 1 1 1/0 0 1 , 1 1 1 1 1 1 , 1 1 1 1 1 1 , 1 1 1 1 1 1 1 1 1 , 1 1 1 , 1 1 .|~~|1 1 6 2 2 13 1 1 47 43 1 1 6 1 26 2 0 1 4 43 1 1 1 38 89 1 26 89 2 1 1 89 1 0 13 43 1 47 43 1 0 9 43 3 9 43 4 0 9 43 3 9 43 4 9 43 3 0 9 43 4 0 4 1 0
|~~||~~||~~|
Lollipop, Lollipop, Lollipop, Lollipop|~~|nnp , nnp , nnp , nnp|~~|1/0/1 , 1/0/1 , 1/0/1 , 1/0/1|~~|8 0 8 0 8 0 8
|~~||~~||~~|
He's taken in hand|~~|nnps vbn in nn|~~|1 1/0 0 1|~~|2 0 38 1
Led by his favourite band|~~|vbn in prp$ nn nn|~~|1 1 1 1/1 1|~~|0 6 16 0 0
Mumbles as he dances |~~|vbz in prp vbz|~~|1/0 1 1 1/0|~~|0 7 21 0
In a crumbling gang|~~|in dt vbg nn|~~|0 1 1/0/0 1|~~|38 43 0 0
|~~||~~||~~|
Lollipop, Lollipop, Lollipop, Lollipop|~~|nnp , nnp , nnp , nnp|~~|1/0/1 , 1/0/1 , 1/0/1 , 1/0/1|~~|8 0 8 0 8 0 8
|~~||~~||~~|
Thunder shakes our nerves to pulp, we gather in a parking lot, our loot spread out, an even glop, our eyes welled up with tears of want, in tandem every single one of us, in our hapless condition that we made ourselves, in a sugar-rush, our bodies drop, oh our bodies drop, when the rhythm stops, when the rhythm stops, oh when the rhythm stops, when the rhythm stops STOP!|~~|nnp vbz prp$ nns to nn , prp vb in dt vbg nn , prp$ nn nn in , dt jj nn , prp$ nns vbn in in nns in vbp , in nn dt jj cd in prp , in prp$ jj nn in prp vbn prp , in dt nn , prp$ nns nn , uh prp$ nns nn , wrb dt nn vbz , wrb dt nn vbz , uh wrb dt nn vbz , wrb dt nn vbz vb !|~~|1/0 1 1/0 1 1 1 , 1 1/0 0 1 1/0 1 , 1/0 1 1 1 , 1 1/0 1 , 1/0 1 1 1 1 1 1 1 , 0 1/0 1/0/0 1/0 1 1 1 , 0 1/0 1/0 0/1/0 1 1 1 0/0/1 , 0 1 1/1/1 , 1/0 1/0 1 , 1 1/0 1/0 1 , 1 0 1/0 1 , 1 0 1/0 1 , 1 1 0 1/0 1 , 1 0 1/0 1 1 !|~~|0 0 8 0 51 0 0 23 0 38 43 0 0 0 8 0 0 5 0 6 0 0 0 8 2 0 3 13 0 26 13 0 38 0 2 5 6 26 1 0 38 8 1 0 15 23 1 0 0 38 43 0 0 8 0 0 0 6 8 0 0 0 9 89 0 0 0 9 89 0 0 0 6 9 89 0 0 0 9 89 0 0 0 0
|~~||~~||~~|
//Awoo|~~|nn|~~|1/1|~~|0
|~~||~~||~~|
From the moment I was taught to resist the education|~~|in dt nn nnp vbd vbn to vb dt nn|~~|1 0 1/0 1 1 1 1 0/1 0 1/0/1/0|~~|13 89 1 57 4 0 51 0 89 0
Awoo |~~|nnp  |~~|1/1  |~~|0 0
To hold it hostage until I know he loves me|~~|to vb prp nn in nnp vb prp vbz prp|~~|1 1 1 1/0 0/1 1 1 1 1 1|~~|51 4 11 0 1 57 4 21 0 14
Awoo|~~|nnp|~~|1/1|~~|0
