//Golden Streams|~~|nn nnps|~~|1/1 1|~~|0 0
I feel like I'm the only one and that I carry your disease  |~~|nnp vb in nnp dt rb nn in nnp vb prp$ nn  |~~|1 1 1 1 0 1/0 1/1/1 1 1 1/0 1 1/1/1  |~~|57 1 5 8 89 6 0 15 57 0 26 0 0
In my head you are suffering |~~|in prp$ nn prp vbp vbg  |~~|0 1 1 1 1 1/0/0  |~~|38 22 3 19 3 0 0
In my head you are  |~~|in prp$ nn prp nn  |~~|0 1 1 1 1/1  |~~|38 22 3 19 0 0
He brings me flowers that are gold and honey from the bees |~~|prp vbz prp nns in vbp nn nn in dt nns  |~~|1 1 1 1/0 1 1 1/1 1/0 1 0 1  |~~|21 0 14 0 15 3 0 0 13 89 0 0
He places a blossom in my hair and undresses me |~~|prp vbz dt nn in prp$ nn nns prp  |~~|1 1/0 1 1/0 0 1 1/1 1/1/1 1  |~~|21 0 43 0 38 22 0 0 14 0
He tells me that I'm the only one that can carry his disease |~~|prp vbz prp in nnp dt rb nn md vb prp$ nn  |~~|1 1 1 1 1 0 1/0 1/1/1 1 1/0 1 0/1  |~~|21 0 14 15 8 89 6 0 7 0 16 0 0
I'm made to be an animal by his love and to bear his baby  |~~|nnp vbn to vb dt jj in prp$ nn to vb prp$ nn  |~~|1 1 1 1 1 1/0/0 1 1 1/1/1 1 1 1 1/1  |~~|8 1 51 46 6 1 6 16 0 51 0 16 0 0
In my head you are suffering |~~|in prp$ nn prp vbp vbg  |~~|0 1 1 1 1 1/0/0  |~~|38 22 3 19 3 0 0
In my head you are |~~|in prp$ nn prp vbp  |~~|0 1 1 1 1  |~~|38 22 3 19 3 0
In my head you are suffering |~~|in prp$ nn prp vbp vbg  |~~|0 1 1 1 1 1/0/0  |~~|38 22 3 19 3 0 0
In my head you are|~~|in prp$ nn prp vbp|~~|0 1 1 1 1|~~|38 22 3 19 3
|~~||~~||~~|
//Animals of prey|~~|nns in nn|~~|1/1/1 1 1|~~|0 26 0
We go down like moles|~~|prp vb rb in nns|~~|1 1 1 1 1|~~|23 3 0 5 0
 Claws dig an endless hole|~~|nn vb dt jj nn|~~|1 1 1 1/0 1|~~|0 0 6 0 0
 We descend on fours|~~|nn vb in nns|~~||~~|0 0 29 0
 Our snouts lead us on|~~|nn nns vb prp in|~~|1 1 1 1 1|~~|0 0 0 1 29
We fall down without notes|~~|prp nn rb in nns|~~|1 1 1 0/1 1|~~|23 0 0 0 0
 And so we build a barren moat |~~|nn rb prp vb dt jj nn  |~~|1 1 1 1 1 1/0 1  |~~|0 1 23 0 43 0 0 0
Work through the night, our eyes opaque |~~|nnp in dt nn , prp$ nns jj  |~~|1 1 0 1 , 1/0 1 0/1  |~~|0 1 89 6 0 8 2 0 0
Our fingers cold, kisses in rain|~~|prp$ nns jj , nns in nn|~~|1/0 1/0 1 , 1/0 0 1|~~|8 1 0 0 0 38 0
We fall down in pairs |~~|prp nn rb in nns  |~~|1 1 1 0 1  |~~|23 0 0 38 0 0
Moles locked in a blind stare |~~|nnps vbn in dt jj vb  |~~|1 1 0 1 1 1  |~~|0 0 38 43 0 0 0
Your pearly mouth, it cracks a smile |~~|prp$ rb nn , prp vbz dt nn  |~~|1 1/0 1 , 1 1 1 1  |~~|26 0 1 0 11 0 43 0 0
Without a sound, the blind lead blind|~~|in dt nn , dt jj vb jj|~~|0/1 1 1 , 0 1 1 1|~~|0 43 0 0 89 0 0 0
We, the animals of prey |~~|prp , dt nns in nn  |~~|1 , 0 1/0/0 1 1  |~~|23 0 89 0 26 0 0
Have become cannibals untamed |~~|vbp vb nns vbn  |~~|1 0/1 1/1/1 1/1  |~~|5 0 0 0 0
Under the stars the moles go far|~~|in dt nns dt nns vb rb|~~|1/0 0 1 0 1 1 1|~~|2 89 0 89 0 3 0
 Into the earth like a sinking stone|~~|nn dt nn in dt vbg nn|~~|1/1 0 1 1 1 1/0 1|~~|0 89 0 5 43 0 0
We ascend as swans |~~|prp vb in nns  |~~|1 0/1 1 1  |~~|23 0 7 0 0
Glide through blue waters calm |~~|vb in jj nns jj  |~~|1 1 1 1/0 1  |~~|0 1 7 0 0 0
Exhausted head, it falls asleep|~~|vbn nn , prp vbz rb|~~|0/1/0 1 , 1 1 0/1|~~|0 3 0 11 3 0
 Under a rock, after the dig|~~|nn dt nn , in dt nn|~~|1/1 1 1 , 1/0 0 1|~~|0 43 0 0 0 89 0
We wake up as swans|~~|prp nn in in nns|~~|1 1 1 1 1|~~|23 0 3 7 0
 Songs sung for no one|~~|nn vbn in dt cd|~~|1 1 1 1 1|~~|0 0 16 5 6
 Left in the night, the moles asleep |~~|nn in dt nn , dt nns rb  |~~|1 0 0 1 , 0 1 0/1  |~~|0 38 89 6 0 89 0 0 0
Forgotten prey, dead rodent stink|~~|vbn nn , jj nn nn|~~|0/1/0 1 , 1 1/0 1|~~|0 0 0 0 0 0
We get up as swans |~~|prp vb in in nns  |~~|1 1 1 1 1  |~~|23 0 3 7 0 0
Big bird in a small pond |~~|jj nn in dt jj nn  |~~|1 1 0 1 1 1  |~~|8 0 38 43 0 0 0
Our eyes are smiles, our fingers cold|~~|prp$ nns vbp nns , prp$ nns jj|~~|1/0 1 1 1 , 1/0 1/0 1|~~|8 2 3 0 0 8 1 0
 Our lips are frowns, our toes have mold|~~|nn nns vbp vbz , prp$ nns vbp nn|~~|1 1 1 1 , 1/0 1 1 1|~~|0 2 3 0 0 8 0 5 0
We, the animals of prey |~~|prp , dt nns in nn  |~~|1 , 0 1/0/0 1 1  |~~|23 0 89 0 26 0 0
Have become cannibals untamed|~~|vbp vb nns vbn|~~|1 0/1 1/1/1 1/1|~~|5 0 0 0
 Dug in the night, we use our spit |~~|nn in dt nn , prp nn prp$ vb  |~~|1 0 0 1 , 1 1 1/0 1  |~~|0 38 89 6 0 23 0 8 0 0
And make a moat where we play dead|~~|cc vb dt nn wrb prp vb jj|~~|1 1 1 1 1 1 1 1|~~|47 1 43 0 1 23 0 0
We, the animals of prey |~~|prp , dt nns in nn  |~~|1 , 0 1/0/0 1 1  |~~|23 0 89 0 26 0 0
Have become cannibals untamed|~~|vbp vb nns vbn|~~|1 0/1 1/1/1 1/1|~~|5 0 0 0
 Dug in the night, we use our spit |~~|nn in dt nn , prp nn prp$ vb  |~~|1 0 0 1 , 1 1 1/0 1  |~~|0 38 89 6 0 23 0 8 0 0
And make a moat where we play dead|~~|cc vb dt nn wrb prp vb jj|~~|1 1 1 1 1 1 1 1|~~|47 1 43 0 1 23 0 0
Where we play dead|~~|wrb prp vb jj|~~|1 1 1 1|~~|1 23 0 0
Where we play dead|~~|wrb prp vb jj|~~|1 1 1 1|~~|1 23 0 0
Where we play dead|~~|wrb prp vb jj|~~|1 1 1 1|~~|1 23 0 0
Where we play dead|~~|wrb prp vb jj|~~|1 1 1 1|~~|1 23 0 0
|~~||~~||~~|
//Smells like happiness|~~|nns in nn|~~|1 1 1/0/0|~~|0 5 0
Happy, we are when we choose to wear the blindfold |~~|jj , prp vbp wrb prp vb to vb dt nn  |~~|1/0 , 1 1 1 1 1 1 1 0 1/1  |~~|0 0 23 3 9 23 0 51 0 89 0 0
And mark our own day with a parade and a song|~~|cc nn prp$ jj nn in dt nn cc dt nn|~~|1 1 1/0 1 1 1 1 0/1 1 1 1|~~|47 1 8 4 4 13 43 0 47 43 0
In our minds, our fathers have died and we realize |~~|in prp$ nns , prp$ nns vbp vbd cc prp vb  |~~|0 1/0 1 , 1/0 1/0 1 1 1 1 1/1  |~~|38 8 0 0 8 0 5 0 47 23 2 0
That cities have clubs and we like to get drunk |~~|in nns vbp nns cc prp in to vb jj  |~~|1 1/0 1 1 1 1 1 1 1 1  |~~|15 0 5 0 47 23 5 51 0 0 0
And high from the smells we inhale from dirty wells |~~|cc jj in dt nns prp nn in jj nns  |~~|1 1 1 0 1 1 1/1 1 1/0 1  |~~|47 0 13 89 0 23 0 13 0 0 0
And the mouth of a boy who smokes cigarettes|~~|cc dt nn in dt nn wp vbz nns|~~|1 0 1 1 1 1 1 1 1/0/1|~~|47 89 1 26 43 4 7 0 0
Happiness has a smell I inhale|~~|nnp vbz dt nn nnp nn|~~|1/0/0 1 1 1 1 1/1|~~|0 0 43 0 57 0
 Like a drug done in a darkened hall |~~|nn dt nn vbn in dt vbn nn  |~~|1 1 1 1 0 1 1/0 1  |~~|0 43 0 0 38 43 0 0 0
Or a bathroom stall with a friend or a man with a hard on|~~|cc dt nn nn in dt nn cc dt nn in dt jj in|~~|1 1 1/1 1 1 1 1 1 1 1 1 1 1 1|~~|6 43 0 0 13 43 0 6 43 2 13 43 0 29
I feed my own face when I soon crave a taste|~~|nnp vbn prp$ jj nn wrb nnp rb vbp dt nn|~~|1 1 1 1 1 1 1 1 1 1 1|~~|57 0 22 4 1 9 57 0 0 43 2
 Of the neck of a boy who wears eau de toilette |~~|nn dt nn in dt nn wp vbz nn nn nn  |~~||~~|0 89 0 26 43 4 7 0 0 0 0 0
And shaves every day and behaves well in department stores|~~|cc vbz dt nn cc vbz rb in nn vbz|~~|1 1 1/0/0 1 1 0/1 1 0 0/1/0 1|~~|47 0 2 4 47 0 4 38 0 0
As well it is the smell of the cum on the rug |~~|in rb prp vbz dt nn in dt nn in dt nn  |~~|1 1 1 1 0 1 1 0 1 1 0 1  |~~|7 4 11 15 89 0 26 89 0 29 89 0 0
Men walk their dirty feet on |~~|nnps vb prp$ jj nns in  |~~|1 1 1 1/0 1 1  |~~|0 12 1 0 2 29 0
And the sweat from the chest of a man in a leather uniform|~~|cc dt nn in dt nn in dt nn in dt nn nn|~~|1 0 1 1 0 1 1 1 1 0 1 1/0 1/0/1|~~|47 89 0 13 89 0 26 43 2 38 43 0 0
Happy are we when we choose to wear the blindfold|~~|jj vbp prp wrb prp vb to vb dt nn|~~|1/0 1 1 1 1 1 1 1 0 1/1|~~|0 3 23 9 23 0 51 0 89 0
 And mark our own place with the smell of our own|~~|nn nn prp$ jj nn in dt nn in prp$ jj|~~|1 1 1/0 1 1 1 0 1 1 1/0 1|~~|0 1 8 4 0 13 89 0 26 8 4
|~~||~~||~~|
//Day is dawning|~~|nn vbz vbg|~~|1 1 1/0|~~|4 15 0
There's a new day dawning|~~|nnps dt jj nn vbg|~~|1/1 1 1 1 1/0|~~|1 43 0 4 0
 There's a new day dawning|~~|nn dt jj nn vbg|~~|1 1 1 1 1/0|~~|0 43 0 4 0
 There's a new day dawning |~~|nn dt jj nn vbg  |~~|1 1 1 1 1/0  |~~|0 43 0 4 0 0
There's a new day dawning|~~|nnps dt jj nn vbg|~~|1/1 1 1 1 1/0|~~|1 43 0 4 0
Day is dawning |~~|nnp vbz vbg  |~~|1 1 1/0  |~~|4 15 0 0
Day is dawning |~~|nnp vbz vbg  |~~|1 1 1/0  |~~|4 15 0 0
Day is dawning |~~|nnp vbz vbg  |~~|1 1 1/0  |~~|4 15 0 0
Day is dawning |~~|nnp vbz vbg  |~~|1 1 1/0  |~~|4 15 0 0
Day is dawning|~~|nnp vbz vbg|~~|1 1 1/0|~~|4 15 0
 Day is dawning|~~|nn vbz vbg|~~|1 1 1/0|~~|0 15 0
There's a new day dawning, skulls piled high |~~|nnps dt jj nn vbg , nns vbd jj  |~~|1/1 1 1 1 1/0 , 1 1 1  |~~|1 43 0 4 0 0 0 0 0 0
My body breathes as crushed by an army but I enjoy how it feels |~~|prp$ nn vbz in vbn in dt nn cc nnp vb wrb prp vbz  |~~|1 1/0 1 1 1 1 1 1/0 1 1 0/1 1 1 1  |~~|22 1 0 7 0 6 6 1 5 57 0 4 11 0 0
To be hurt, beaten, broken and demolished I may never later choose to heal because|~~|to vb vbn , vbn , vbn cc nn md rb rb vb to vb in|~~|1 1 1 , 1/0 , 1/0 1 1/1/1/1/1 1 1/0 1/0 1 1 1 0/1|~~|51 46 0 0 0 0 0 47 0 3 0 0 0 51 0 0
The sun is disappearing And the dark is reappearing on top, on top|~~|dt nn vbz nn dt jj vbz nn in jj , in jj|~~|0 1 1 1/1/1/1/1 0 1 1 1/1/1/1 1 1 , 1 1|~~|89 1 15 0 89 0 15 0 29 0 0 29 0
There's a pile of old bones in the corner |~~|nnps dt nn in jj nns in dt nn  |~~|1/1 1 1 1 1 1 0 0 1/0  |~~|1 43 0 26 4 2 38 89 1 0
Entrails in jars on shelves |~~|nnps in nns in nns  |~~|1/1 0 1 1 1  |~~|0 38 0 29 0 0
The shadow over land becomes a cover |~~|dt nn in nn vbz dt nn  |~~|0 1/1 1/0 1 0/1 1 1/0  |~~|89 0 0 1 0 43 1 0
It appears as neither black nor pale|~~|prp vbz in dt jj cc jj|~~|1 0/1 1 1/0 1 1 1|~~|11 0 7 1 0 0 0
 The sight of sky in darkness draws an audience|~~|nn nn in nn in nn vbz dt nn|~~||~~|0 0 26 0 38 0 0 6 0
 The basement dwellers will go blind because|~~|nn nn nns md vb jj in|~~||~~|0 0 0 10 3 0 0
The sun is disappearing |~~|dt nn vbz vbg  |~~|0 1 1 1/0/1/0  |~~|89 1 15 0 0
And the dark is reappearing on top, on top |~~|cc dt jj vbz nn in jj , in jj  |~~|1 0 1 1 1/1/1/1 1 1 , 1 1  |~~|47 89 0 15 0 29 0 0 29 0 0
The sun is disappearing |~~|dt nn vbz vbg  |~~|0 1 1 1/0/1/0  |~~|89 1 15 0 0
And the dark is reappearing on top, on top|~~|cc dt jj vbz nn in jj , in jj|~~|1 0 1 1 1/1/1/1 1 1 , 1 1|~~|47 89 0 15 0 29 0 0 29 0
The work of the father, of my father to build the will to build |~~|dt nn in dt nn , in prp$ nn to vb dt md to vb  |~~|0 1 1 0 1/0 , 1 1 1/0 1 1 0 1 1 1  |~~|89 0 26 89 1 0 26 22 1 51 0 89 10 51 0 0
Has fallen blindly over all of my recordings |~~|vbz vbn rb in dt in prp$ nns  |~~|1 1/0 1/0 1/0 1 1 1 0/1/0  |~~|0 0 0 0 15 26 22 0 0
It is the nails driven through the steel |~~|prp vbz dt nns vbn in dt nn  |~~|1 1 0 1 1/0 1 0 1  |~~|11 15 89 0 0 1 89 0 0
