Id	Speed	TravelTime	Status	DataAsOf	linkId	linkPoints	EncodedPolyLine	EncodedPolyLineLvls	Owner	Transcom_id	Borough	linkName
123	4.97	292	0	9/20/2014 19:23:00	4616345	40.70738,-74.01558 40.70669,-74.0159 40.706371,-74.01604 40.7051,-74.01643 40.70476,-74.01652 	mlmwFr~vbMUKw@AcBj@i@`Aa@vC??l@P??dBf@~BXfEdAp@B	BBBBBBBBBBBBB	NYC_DOT_LIC	4616345	Manhattan	BBT Manhattan Portal inbound - West St S Battery Place
124	42.25	152	0	9/20/2014 19:22:03	4456501	40.68036,-74.00441001 40.6822,-74.0057201 40.6837,-74.006440 40.68563,-74.00757 40.6941205,-74.01288001 40.7002801,-74.01529001 40.70121,-74.0156 40.703434,-74.0156101 40.70499,-74.01519 40.70609,-74.01468	gkhwFp~tbMoJdGkHnCaK`Fat@d`@oe@`NyD|@{L@wHsA{EeB	BBBBBBBBBB	MTA Bridges & Tunnels	4456501	Manhattan	BBT W Toll Plaza - Manhattan Portal
129	49.71	84	0	9/20/2014 19:22:59	4616246	40.8240706,-73.874311 40.8247,-73.86959 40.8251906,-73.86596 40.82536,-73.86426 40.82587,-73.85961 40.8266006,-73.85424 40.8271806,-73.84994	mmdxFjq{aM}Bm\aBwUa@sIeB_\qCq`@sB{Y	BBBBBBB	NYC_DOT_LIC	4616246	Bronx	BE N STRATFORD AVENUE - CASTLE HILL AVE
137	37.9	112	0	9/20/2014 19:22:59	4616260	40.8242005,-73.874361 40.8249804,-73.868411 40.8254,-73.865281 40.82591,-73.860311 40.8266906,-73.854581 40.8273104,-73.84998	gndxFvq{aM{Ced@sAqReBa^{Cyb@{Bw[	BBBBBB	NYC_DOT_LIC	4616260	Bronx	BE S CASTLE HILL AVENUE - STRATFORD AVENUE
140	24.23	138	0	9/20/2014 19:22:03	4456479	40.79789,-73.91988 40.79771,-73.92004 40.79758,-73.92022 40.7974704,-73.92059 40.797501,-73.92109 40.79766,-73.92165 40.79811,-73.922631 40.79834,-73.922991 40.79872,-73.92381 40.799091,-73.924681 40.7993305,-73.92524 40.7999805,-73.926881 40.80096,-73.92	yi_xFfndbMb@^Xb@ThAEbB_@nByAbEm@fAkAbDiAlDo@nBaCfIcEfMkBnGeAhD	BBBBBBBBBBBBBBB	MTA Bridges & Tunnels	4456479	Queens	BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
141	37.28	192	0	9/20/2014 19:22:03	4456478	40.772251,-73.919891 40.77391,-73.9222 40.77474,-73.92301 40.77647,-73.92431 40.7783606,-73.925761 40.7810205,-73.92776 40.78372,-73.92982 40.7842205,-73.93002 40.78477,-73.93011 40.78549,-73.930051 40.7860304,-73.92985 40.7866206,-73.929511 40.7883206,-7	qizwFhndbMkIlMeD`DyIbGyJ`HsOnK{OzKcBf@mBPoCKkBg@uBcAsIiHgGgFuFaEiGoFqMaLmGmFcFsDcHyE{ByA{EcDqGoEeAo@}@e@	BBBBBBBBBBBBBBBBBBBBBBBBB	MTA Bridges & Tunnels	4456478	Queens	BE S TBB EXIT RAMP - QUEENS ANCHORAGE
145	27.96	91	0	9/20/2014 19:23:00	4616342	40.7081105,-73.99944 40.7084705,-73.99884 40.70868,-73.998331 40.70886,-73.997751 40.709,-73.99702 40.7091405,-73.99594	uxmwFn_tbMgAwBi@eBc@sB[qC[wE	BBBBBB	NYC_DOT_LIC	4616342	Manhattan	BKN Bridge Manhattan Side - FDR N Catherine Slip
148	24.85	492	0	9/20/2014 19:22:59	4616257	40.69153,-73.99911 40.6922605,-73.99937 40.6928906,-73.99937 40.6933406,-73.99925 40.69406,-73.99898 40.695,-73.99853 40.697371,-73.99741 40.699431,-73.99642 40.69977,-73.9962 40.7001405,-73.99584 40.7004504,-73.995421 40.7007905,-73.994881 40.7010805,-7	aqjwFl}sbMqCr@}B?yAWoCu@{DyAyM_F{KeEcAk@iAgA}@sAcAkBy@kBy@}Ck@kDMmCA{CNyB`@qFbAcMXuB\wAf@qAbA{AbCqCx@aAfGaHhCwChAkAnAkC`@wBP_DpBavAKkDiAkEuAmByBaB_Cg@{LqCuFmBiFeCgNuGqKcFwKmF}EmCcCuAiC}AyCgBaFeD}B{BeKwMyIwN	BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616257	Brooklyn	BQE N ATLANTIC AVENUE - LEONARD STREET
149	19.88	358	0	9/20/2014 19:23:00	4616339	40.6916,-73.99915 40.69236,-73.99939 40.69272,-73.999411 40.69328,-73.99929 40.6940504,-73.999001 40.694461,-73.998831 40.694931,-73.99862 40.69543,-73.99836 40.69592,-73.99813 40.69675,-73.99772 40.6977506,-73.997251 40.698871,-73.996721 40.6993606,-73.9	oqjwFt}sbMwCn@gABoBWkF{AaE}AaBm@mJoDaI}Co@UoAmAyAwBiBiDi@eBg@yB_@mBS{BAuCBeARoCb@{Ej@aA~@_@t@HVXD^C`@u@hBWl@qCtDgChDsH`KyKtNcNjQaCfDiBnCaCrD	BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616339	Manhattan	BQE N Atlantic Ave - BKN Bridge Manhattan Side
150	3.11	2876	0	9/20/2014 19:23:00	4616340	40.7016405,-73.991121 40.70158,-73.99033 40.7014405,-73.98932 40.70123,-73.98797 40.7011505,-73.987461 40.70094,-73.986521 40.70073,-73.985921 40.70055,-73.985581 40.70029,-73.985211 40.76,-73.984951 40.69975,-73.984681 40.6995605,-73.984551 40.69944,-73.	gplwFnkrbMJ}CZiEh@mGNeBh@{Dh@wBb@cAr@iAl@s@|@u@d@YVGl@A^JTVVn@Dt@Gl@Uf@i@j@eA~@gCjAyDhBcCfA_A`@cB|@wIbEgF~BuPdI}SzI{KbFeGtC{CJ	BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616340	Manhattan	BQE N Atlantic Ave - MAN Bridge Manhattan Side
