CensusTract,State,County,LAT,LON,Urban,Rural,housing units,total pop,pop 1 mile low access
36005023200,NY,Bronx,40.8469746,-73.8633164,1,0,898,2661,0
36005023301,NY,Bronx,40.8495538,-73.908715,1,0,1490,4377,0
36005023302,NY,Bronx,40.8482057,-73.9046739,1,0,968,3415,0
36005023501,NY,Bronx,40.8521923,-73.9045361,1,0,1016,3341,0
36005023502,NY,Bronx,40.8513349,-73.9034407,1,0,1572,4386,0
36005023600,NY,Bronx,40.8450904,-73.8672594,1,0,637,1907,0
36005023702,NY,Bronx,40.8606549,-73.8973142,1,0,331,1241,0
36005023703,NY,Bronx,40.8600426,-73.8995705,1,0,1467,5253,0
36005023704,NY,Bronx,40.8562676,-73.9019054,1,0,1176,3758,0
36005023800,NY,Bronx,40.8437093,-73.8610752,1,0,847,2615,0
36005023900,NY,Bronx,40.8588899,-73.9028771,1,0,2511,8348,0
36005024000,NY,Bronx,40.8416182,-73.8688617,1,0,1261,3882,0
36005024100,NY,Bronx,40.8531499,-73.9061851,1,0,1853,6182,0
36005024300,NY,Bronx,40.8524326,-73.9115326,1,0,1916,5685,0
36005024400,NY,Bronx,40.8462492,-73.8575203,1,0,835,2120,0
36005024501,NY,Bronx,40.8528844,-73.9155029,1,0,1517,4864,0
36005024502,NY,Bronx,40.8551013,-73.9135611,1,0,1116,3640,0
36005024600,NY,Bronx,40.8516098,-73.8611557,1,0,778,2058,0
36005024700,NY,Bronx,40.8553118,-73.9187867,1,0,635,1764,0
36005024800,NY,Bronx,40.8553409,-73.8584097,1,0,1219,3363,0
36005024900,NY,Bronx,40.8574375,-73.9131413,1,0,0,0,0
36005025000,NY,Bronx,40.8517064,-73.8557006,1,0,991,2383,0
36005025100,NY,Bronx,40.8565246,-73.9077291,1,0,2086,6802,0
36005025200,NY,Bronx,40.847132,-73.8549662,1,0,970,2530,0
36005025300,NY,Bronx,40.8610106,-73.9045321,1,0,1889,6332,0
36005025400,NY,Bronx,40.8484985,-73.8524773,1,0,810,1959,0
36005025500,NY,Bronx,40.8605391,-73.9089561,1,0,2072,6529,0
36005025600,NY,Bronx,40.8443911,-73.850219,1,0,646,1663,0
36005025700,NY,Bronx,40.8601938,-73.9144391,1,0,657,1912,0
36005026100,NY,Bronx,40.86665,-73.9058809,1,0,987,1932,0
36005026300,NY,Bronx,40.8647888,-73.9044333,1,0,2124,6984,0
36005026400,NY,Bronx,40.8417808,-73.8320781,1,0,2032,4935,0
36005026500,NY,Bronx,40.866188,-73.9002477,1,0,2041,6942,0
36005026601,NY,Bronx,40.8474444,-73.8341394,1,0,1391,2911,0
36005026602,NY,Bronx,40.8459921,-73.8306465,1,0,2549,5301,0
36005026701,NY,Bronx,40.8693417,-73.9011885,1,0,1339,4037,0
36005026702,NY,Bronx,40.8722603,-73.9001321,1,0,2402,7040,0
36005026900,NY,Bronx,40.865039,-73.9094977,1,0,1344,3777,0
36005027300,NY,Bronx,40.8739329,-73.9032846,1,0,2555,7942,0
36005027401,NY,Bronx,40.8404245,-73.8226412,1,0,1836,4785,0
36005027402,NY,Bronx,40.8449351,-73.8153565,1,0,1330,3386,0
36005027600,NY,Bronx,40.8525216,-73.8209505,1,0,217,473,0
36005027700,NY,Bronx,40.878402,-73.9014063,1,0,1766,5065,0
36005027900,NY,Bronx,40.8824834,-73.8972276,1,0,2819,6966,0
36005028100,NY,Bronx,40.883807,-73.8906788,1,0,1760,3794,0
36005028300,NY,Bronx,40.8809249,-73.9023158,1,0,1307,3149,0
36005028400,NY,Bronx,40.8493866,-73.8387219,1,0,61,894,0
36005028500,NY,Bronx,40.8864175,-73.9025909,1,0,1574,3307,0
36005028600,NY,Bronx,40.849174,-73.8478592,1,0,484,1191,0
36005028700,NY,Bronx,40.8827147,-73.9046564,1,0,1185,3178,0
36005028800,NY,Bronx,40.854292,-73.8514783,1,0,1209,3097,0
36005028900,NY,Bronx,40.879555,-73.9072892,1,0,1726,4502,0
36005029301,NY,Bronx,40.8827196,-73.9227136,1,0,905,1875,0
36005029302,NY,Bronx,40.8792851,-73.9158389,1,0,2627,5052,0
36005029500,NY,Bronx,40.8848984,-73.9085646,1,0,2005,4240,0
36005029600,NY,Bronx,40.8553748,-73.8450048,1,0,721,2549,0
36005029700,NY,Bronx,40.8849993,-73.9117786,1,0,1666,3554,0
36005030000,NY,Bronx,40.8522011,-73.8312345,1,0,2592,5838,0
36005030100,NY,Bronx,40.8832804,-73.9179116,1,0,558,1304,0
36005030200,NY,Bronx,40.8636573,-73.8223933,1,0,4183,8887,0
36005030701,NY,Bronx,40.8931975,-73.9105904,1,0,2590,5378,0
36005030900,NY,Bronx,40.8986778,-73.9151742,1,0,1351,3891,0
36005031000,NY,Bronx,40.8612344,-73.8360747,1,0,1284,4415,0
36005031200,NY,Bronx,40.8620468,-73.8424522,1,0,577,1524,0
36005031400,NY,Bronx,40.8615486,-73.8455438,1,0,638,1966,0
36005031600,NY,Bronx,40.8619716,-73.8487247,1,0,609,1863,0
36005031800,NY,Bronx,40.8619545,-73.8515677,1,0,601,1810,0
36005031900,NY,Bronx,40.9138727,-73.9111066,1,0,0,751,0
36005032300,NY,Bronx,40.9053119,-73.9075469,1,0,2676,4904,0
36005032400,NY,Bronx,40.8613415,-73.8597052,1,0,1249,2957,0
36005032600,NY,Bronx,40.8621878,-73.8554778,1,0,1077,3154,0
36005032800,NY,Bronx,40.8617366,-73.8631301,1,0,1420,3979,0
36005033000,NY,Bronx,40.8616561,-73.8660255,1,0,2125,5696,0
36005033201,NY,Bronx,40.8594756,-73.8692323,1,0,1849,4115,0
36005033202,NY,Bronx,40.8633818,-73.8689413,1,0,1600,4167,0
36005033400,NY,Bronx,40.8600152,-73.8743058,1,0,600,1351,0
36005033500,NY,Bronx,40.8942652,-73.9052413,1,0,749,2178,0
36005033600,NY,Bronx,40.8684896,-73.8688853,1,0,2569,6188,0
36005033700,NY,Bronx,40.9062277,-73.9025219,1,0,909,2357,0
36005033800,NY,Bronx,40.8684379,-73.8658167,1,0,1353,3818,0
36005034000,NY,Bronx,40.8684405,-73.8629232,1,0,1721,4618,0
36005034200,NY,Bronx,40.8684165,-73.8600256,1,0,598,1675,0
36005034300,NY,Bronx,40.9096678,-73.8981695,1,0,595,1649,0
36005034400,NY,Bronx,40.8683644,-73.8571317,1,0,588,1736,0
36005034500,NY,Bronx,40.9040642,-73.8986561,1,0,1638,3566,0
36005034800,NY,Bronx,40.8694471,-73.8530706,1,0,2060,6129,0
36005035000,NY,Bronx,40.8685221,-73.8482552,1,0,632,1925,0
36005035100,NY,Bronx,40.8951029,-73.9000859,1,0,1090,3186,0
36005035600,NY,Bronx,40.8668437,-73.8359921,1,0,656,2027,0
36005035800,NY,Bronx,40.8739752,-73.8426048,1,0,2443,7166,0
36005035900,NY,Bronx,40.8403016,-73.8834386,1,0,687,2061,0
36005036000,NY,Bronx,40.8668405,-73.8431182,1,0,907,2706,0
36005036100,NY,Bronx,40.8422924,-73.8795815,1,0,2143,6019,0
36005036300,NY,Bronx,40.8445641,-73.8827622,1,0,2476,7509,0
36005036400,NY,Bronx,40.8736354,-73.849235,1,0,885,2557,0
36005036501,NY,Bronx,40.8453745,-73.8858159,1,0,1347,3965,0
36005036502,NY,Bronx,40.8423825,-73.8878235,1,0,741,2423,0
36005036700,NY,Bronx,40.8407598,-73.8893061,1,0,626,2599,0
36005036800,NY,Bronx,40.8753072,-73.855942,1,0,624,2011,0
