headline 	 snippet 	 date
"Tom Clancy, Spinner of Suspense"	"Mr. Clancyâ€™s military thrillers were blockbuster hits on the best-seller list, at the box office and even in the gaming world. He died at 66 in Baltimore."	2013-10-02T22:22:00Z
"Bill Eppridge, Who Captured Powerful â€™60s Images, Dies at 75"	Mr. Eppridge made his most enduring mark with a historic image of a mortally wounded Senator Robert F. Kennedy lying on the floor of a Los Angeles hotel in June 1968.	2013-10-05T00:00:00Z
"Abraham Nemeth, Creator of a Braille Code for Math, Is Dead at 94"	"Told that blind people could not do math, Dr. Nemeth developed a customized code that even captured the complexities of differential calculus."	2013-10-07T00:00:00Z
"Stanley Kauffmann, Critic, Dies at 97; Spent a Half-Century at the Movies "	"Mr. Kauffmann&#8217;s reflective movie reviews appeared for 55 years in The New Republic, until his last months."	2013-10-10T00:00:00Z
"Wilfried Martens, Belgian Statesman, Dies at 77"	"Mr. Martens, a longtime prime minister, is credited with helping to keep together his linguistically divided country."	2013-10-11T00:00:00Z
"Donald Cabana, Warden Who Loathed Death Penalty, Dies at 67"	"Mr. Cabana, who worked in corrections for more than 25 years, argued that capital punishment was ineffectual, expensive and inhumane."	2013-10-13T00:00:00Z
"Mark B. Read, Criminal Turned Author, Dies at 58"	"Mr. Read, known as Chopper, based top-selling books and stand-up performance on his violent and varied life of crime."	2013-10-15T00:00:00Z
"Wadih el-Safi, 91, a Favorite Singer in the Arab World"	"Mr. Safi helped spread colloquial Lebanese Arabic outside of Lebanon, becoming known to many Arabs as â€œthe man with the golden voice.â€ù"	2013-10-15T00:00:00Z
"Wadih el-Safi, 91, a Favorite Singer in the Arab World"	"Mr. Safi helped spread colloquial Lebanese Arabic outside of Lebanon, becoming known to many Arabs as â€œthe man with the golden voice.â€ù"	2013-10-15T00:00:00Z
"Ed Lauter, Actor With a Familiar Face, Dies at 74"	"Mr. Lauter, a recognizable figure known for his menacing characters, acted for five decades and was in â€œTrouble in the Curveâ€ù last year."	2013-10-18T00:00:00Z
"Butch Warren, 74, Prominent Jazz Bassist, Dies"	"Mr. Warren performed and recorded with Thelonious Monk, Herbie Hancock and others before his career was derailed by mental illness and substance abuse."	2013-10-24T00:00:00Z
"Hal Needham, Stuntman and Director of Action Films, Dies at 82"	"Mr. Needham performed and designed stunts in many television episodes and movies before directing â€œSmokey and the Bandit,â€ù â€œThe Cannonball Runâ€ù and other films."	2013-10-27T00:00:00Z
"Robinson Risner, Ace Fighter Pilot, Dies at 88"	Brig. Gen. Robinson Risner shot down eight MIG-15 fighters during the Korean War and was held captive at the â€œHanoi Hiltonâ€ù for seven and a half years.	2013-10-28T00:00:00Z
"Noel Harrison, Actor and Singer of â€˜Windmills of Your Mind,â€™ Dies at 79"	Mr. Harrison was best known for his role on â€œThe Girl From U.N.C.L.E.â€ù and his rendition of the song â€œThe Windmills of Your Mindâ€ù for the soundtrack of â€œThe Thomas Crown Affair.â€ù	2013-10-29T00:00:00Z
"Tadeusz Mazowiecki, Ex-Premier of Poland, Dies at 86"	Mr. Mazowiecki helped form the Solidarity trade union movement and became the first non-Communist to head an Eastern bloc nation since the late 1940s.	2013-10-29T00:00:00Z
"Ike Skelton, Former Congressman From Missouri, Dies at 81"	"Mr. Skelton, a 17-term Democrat, was chairman of the House Armed Services Committee."	2013-10-29T00:00:00Z
"Allan Stanley, 87, Dies; Helped Maple Leafs Win 4 N.H.L. Titles"	"Stanley, who played 21 seasons and was noted for a lumbering skating style, won four Stanley Cups with Toronto in the 1960s, including the teamâ€™s last championship, in 1967."	2013-10-30T00:00:00Z
"William Harrison, 79, Novelist and â€˜Rollerballâ€™ Writer, Dies"	Mr. Harrison also wrote the film â€œMountains of the Moonâ€ù and taught at the University of Arkansas.	2013-10-30T00:00:00Z
"Manna Dey, 94, the Voice of Many a Bollywood Star, Dies"	"Mr. Dey was an acclaimed playback singer for Bengali as well as Bollywood films, but like most Bollywood singers, he was not seen onscreen."	2013-11-01T00:00:00Z
"Frank Wess, 91, Saxophonist and Flutist With the Basie Band, Dies"	"Mr. Wess was not the first flutist in jazz, but his deft flute solos enjoyed a prominent platform: the front row of the Basie ensemble."	2013-11-04T00:00:00Z
"Tato Laviera, 63, Poet of Nuyorican School "	Mr. Laviera&#8217;s acclaimed poems and plays captured the rhythms and language of Puerto Rico and the Lower East Side.	2013-11-07T00:00:00Z
"Manfred Rommel, Son of German Field Marshal, Dies at 84"	"Mr. Rommel, a three-term mayor of Stuttgart, was a liberal voice in postwar West Germany, supporting immigrant rights and strengthening the cityâ€™s Jewish population."	2013-11-11T00:00:00Z
"Kalaparusha Maurice McIntyre, Tenor Saxophonist, Dies at 77"	Mr. McIntyre was a founding member of the Association for the Advancement of Creative Musicians and occasionally performed in face paint and tribal costume.	2013-11-15T00:00:00Z
"James H. Steele, Pioneer in Veterinary Public Health, Dies at 100"	Dr. Steele helped establish mass vaccination and prevention programs in the United States and abroad for diseases that pass from animals to people.	2013-11-22T00:00:00Z
