headline , snippet , date,name,age,day of death,month of death,year of death
"Albert Taylor, Tracker Whose Work Helped Children, Dies at 88","Mr. Taylor, a former Border Patrol agent, was regarded as a legend in the art of tracking people in the wild and helped develop a program to teach children how to increase their chances of being found.",2013-09-22T00:00:00Z,Albert Taylor,88,22,9,2013
Alexander Leaf Dies at 92- Linked Diet and Health,"Dr. Leaf was a physician, researcher, administrator and professor who studied heart disease, longevity and the dangers of global warming.",2013-01-07T00:00:00Z,Alexander Leaf Dies at 92- Linked Diet and Health,92,7,1,2013
"Andrew M. Greeley, Priest, Scholar and Scold, Is Dead at 85","Father Greeley’s outpouring of sociological research, contemporary theology, sexually frank novels and newspaper columns challenged reigning assumptions about American Catholicism.",2013-05-31T00:00:00Z,Andrew M. Greeley,85,31,5,2013
"Patrice Chéreau, Opera, Stage and Film Director, Dies at 68","Mr. Chéreau’s iconoclastic theater, opera and film productions sometimes offered broad social critiques that made them both deeply provocative and widely influential.",2013-10-08T00:00:00Z,Patrice Chéreau,68,8,10,2013
"Dave Jennings, All-Pro Punter for Giants, Dies at 61","Jennings, known for kicks that lingered in the air, angled toward the sideline and pinned opposing teams inside their 20-yard line, was often the best player on some dreadful teams.",2013-06-20T00:00:00Z,Dave Jennings,61,20,6,2013
"Eyad El-Sarraj, Psychiatrist Who Fought for Palestinians’ Rights, Dies at 70","Dr. Sarraj pioneered mental health care in Gaza and became an internationally recognized human rights advocate, criticizing both the Israeli and Palestinian authorities.",2013-12-19T00:00:00Z,Eyad El-Sarraj,70,19,12,2013
"Frederick Sanger, 95, Two-Time Winner of Nobel and Pioneer in Genetics, Dies","Dr. Sanger, a British biochemist, showed how amino acids link together to form insulin in 1958, and invented a method of “reading” molecular letters that make up the genetic code in 1980.",2013-11-21T00:00:00Z,Frederick Sanger,95,21,11,2013
"Lawrence R. Klein, Economic Theorist, Dies at 93","Professor Klein was widely regarded for his statistical models used to predict global economic trends, for which he was awarded the 1980 Nobel in economic science.",2013-10-22T00:00:00Z,Lawrence R. Klein,93,22,10,2013
"Harold Shapero, American Neo-Classical Composer, Dies at 93","Mr. Shapero was a composer and a central figure of American Neo-Classicism, a school of composition that thrived in the 1940s and ’50s.",2013-05-22T00:00:00Z,Harold Shapero,93,22,5,2013
"Chin Peng, Malaysian Rebel, Dies at 88","Mr. Peng pitted himself against Japanese invaders, British colonialists and his own government in a bloody struggle for an independent Communist country.",2013-09-17T00:00:00Z,Chin Peng,88,17,9,2013
"Dean Brooks, ‘Cuckoo’s Nest’ Doctor, Dies at 96",Dr. Brooks was the superintendent of an Oregon psychiatric hospital when he agreed to allow “One Flew Over the Cuckoo’s Nest” to be filmed there.,2013-06-01T00:00:00Z,Dean Brooks,96,1,6,2013
"McCandlish Phillips, Who Exposed a Jewish Klansman, Is Dead at 85","Mr. Phillips, associated with The Times for more than 20 years, wrote a 1965 exposé of a man in Queens with an Orthodox Jewish background who was a senior Ku Klux Klan official.",2013-04-10T00:00:00Z,McCandlish Phillips,85,10,4,2013
"Jack Pardee, a Star at Texas A&M and an N.F.L. Coach, Dies at 76",Mr. Pardee endured the brutal conditions of Bear Bryant’s “Junction Boys” training camp at Texas A&M and went on to become an All-Pro linebacker and N.F.L. coach.,2013-04-03T00:00:00Z,Jack Pardee,76,3,4,2013
"August Schellenberg, Actor in ‘Free Willy’ Movies, Dies at 77",Mr. Schellenberg was nominated for an Emmy for his performance as Chief Sitting Bull in the HBO movie “Bury My Heart at Wounded Knee.”,2013-08-17T00:00:00Z,August Schellenberg,77,17,8,2013
"Arik Einstein, 74, Beloved Israeli Singer, Dies",Mr. Einstein&#8217-s blend of folk and rock helped shape a new Hebrew popular culture and his ballads became modern Israeli anthems.,2013-12-05T00:00:00Z,Arik Einstein,74,5,12,2013
"Jack Beal, Optimistic New Realist Painter, Dies at 82","Mr. Beal made minutely detailed portraits and narrative works, including large murals in the Times Square subway station.",2013-09-08T00:00:00Z,Jack Beal,82,8,9,2013
Lewis A. Yocum Dies at 65- Repaired Arms and Careers in Baseball,"Dr. Yocum performed Tommy John surgery on a number of major leaguers, saving the careers of many.",2013-05-30T00:00:00Z,Lewis A. Yocum Dies at 65- Repaired Arms and Careers in Baseball,65,30,5,2013
"Arnold Burns, Who Left Justice Dept. in Protest, Dies at 83","Mr. Burns, a top Justice Department official under President Ronald Reagan, resigned over what he and others viewed as improper acts by Attorney General Edwin Meese III.",2013-10-02T00:00:00Z,Arnold Burns,83,2,10,2013
"Bert Lance, Carter Adviser, Dies at 82","Mr. Lance, a pre-eminent adviser and tennis-playing confidant to Jimmy Carter, was forced to resign as director of the Office of Management and Budget because of accusations that he had personally traded on his ties with the president.",2013-08-16T00:00:00Z,Bert Lance,82,16,8,2013
Rabbi Herschel Schacter Is Dead at 95- Cried to the Jews of Buchenwald: ‘You Are Free’,"As an American Army chaplain, Rabbi Schacter entered the concentration camp an hour after its liberation in 1945 and told frightened inmates, “Peace be upon you, Jews, you are free!”",2013-03-27T00:00:00Z,Rabbi Herschel Schacter Is Dead at 95- Cried to the Jews of Buchenwald: ‘You Are Free’,95,27,3,2013
"Donald Richie, 88, American Expert on Japan, Is Dead","Mr. Richie is best known for introducing the English-speaking world to the golden age of Japanese cinema, including the director Akira Kurosawa.",2013-02-20T00:00:00Z,Donald Richie,88,20,2,2013
"Sol Yurick, 87, Author of ‘The Warriors’ Gang Novel","Mr. Yurick’s best-known work, the 1965 gang novel “The Warriors,” was based on his experiences in the New York City Welfare Department, and was turned into a movie in 1979.",2013-01-10T00:00:00Z,Sol Yurick,87,10,1,2013
"Pran Sikand, Villain of the Bollywood Screen, Dies at 93","During the height of Mr. Sikand’s fame, his sneers and snarls on film had such an indelible influence that mothers in India were said to be reluctant to name their sons Pran.",2013-07-17T00:00:00Z,Pran Sikand,93,17,7,2013
"Vernon McGarity, Dies at 91, War Hero- Fought in the Battle of the Bulge","Mr. McGarity, who received the Medal of Honor, was a technical sergeant in the 99th Infantry Division in December 1944 when Hitler mounted his last offensive of the war.",2013-05-23T00:00:00Z,Vernon McGarity,91,23,5,2013
"Lotfi Mansouri, 84, Opera Troupe Director, Dies","Mr. Mansouri, who ran the San Francisco Opera and Canadian Opera Company in Toronto, introduced a system of showing the works’ translations on video screens during performances.",2013-09-02T00:00:00Z,Lotfi Mansouri,84,2,9,2013
"Michael Hastings, Polk Winner, Dies in Crash at 33","Mr. Hastings, the journalist whose reporting led to the ouster of the commander of American forces in Afghanistan in 2010, was killed in a car crash, the news Web site BuzzFeed said.",2013-06-19T00:00:00Z,Michael Hastings,33,19,6,2013
"Al Fritz, Who Put Youngsters on Stylish, Colorful Bikes, Dies at 88","Mr. Fritz designed a rugged, compact bicycle, recognizable by its banana seat and high handlebars, which Schwinn sold in the millions.",2013-05-11T00:00:00Z,Al Fritz,88,11,5,2013
"Christine White, Actress in a Classic ‘Twilight Zone,’ Dies at 86","Ms. White was seen in television roles from the 1950s through the mid-1970s, but was best remembered playing William Shatner’s loyal wife in “Nightmare at 20,000 Feet.”",2013-05-19T00:00:00Z,Christine White,86,19,5,2013
"Fred L. Turner, Innovative Chief of McDonald’s, Dies at 80","During Mr. Turner’s tenure, the restaurant chain expanded, and the Chicken McNugget, the Egg McMuffin and the Happy Meal were introduced.",2013-01-09T00:00:00Z,Fred L. Turner,80,9,1,2013
"Lloyd Moss, 86, WQXR Host and Author","Mr. Moss, after ad-libbing on the radio, wrote the award-winning children’s book “Zin! Zin! Zin! A Violin” about orchestra instruments.",2013-08-12T00:00:00Z,Lloyd Moss,86,12,8,2013
"Edouard Molinaro, Oscar Nominee for Directing ‘La Cage,’ Dies at 85","Mr. Molinaro had many television shows and movies to his credit, but “La Cage aux Folles” is his best-known work.",2013-12-09T00:00:00Z,Edouard Molinaro,85,9,12,2013
"José Sarria, Gay Advocate and Performer, Dies at 90",Mr. Sarria was a drag performer and gay rights advocate who many historians contend was the first openly gay person to campaign for public office in the United States.,2013-08-24T00:00:00Z,José Sarria,90,24,8,2013
"Joseph A. Unanue, Former Chief Executive of Goya Foods, Dies at 88","Mr. Unanue is credited with coining the company’s well-known advertising slogan, “Goya — oh boya!”",2013-06-16T00:00:00Z,Joseph A. Unanue,88,16,6,2013
"Frank Pulli, First Umpire to Use Replay, Dies at 78","Mr. Pulli spent nearly 30 years as an umpire for Major League Baseball, and he became the first to use instant replay to verify a call in 1999.",2013-08-30T00:00:00Z,Frank Pulli,78,30,8,2013
"Balthazar Korab, Architectural Photographer, Dies at 86",Mr. Korab was one of a handful of commercial photographers who introduced postwar architecture to Americans.,2013-01-27T00:00:00Z,Balthazar Korab,86,27,1,2013
"Ralph G. Martin, a Best-Selling Biographer, Dies at 92","Mr. Martin’s subjects included Winston Churchill’s mother, Golda Meir and the Kennedys.",2013-01-14T00:00:00Z,Ralph G. Martin,92,14,1,2013
"Luciano Vincenzoni, Screenwriter, Dies at 87","Mr. Vincenzoni, who worked with prominent filmmakers like Billy Wilder and Dino De Laurentiis, was most associated with “For a Few Dollars More” and “The Good, the Bad and the Ugly.”",2013-09-26T00:00:00Z,Luciano Vincenzoni,87,26,9,2013
"Alex Colville, Leading Canadian Artist, Dies at 92","Mr. Colville, a figurative painter, revealed emotional and cultural tension in his spare and precise depictions of moments that might otherwise seem mundane.",2013-07-22T00:00:00Z,Alex Colville,92,22,7,2013
"Dean Jeffries, Car Customizer and Painter, Dies at 80","Mr. Jeffries was a virtual one-stop shop in the world of custom cars, and created the Monkeemobile and the “Bikini Beach” Mantaray.",2013-05-12T00:00:00Z,Dean Jeffries,80,12,5,2013
"Alan Abelson, Who at Barron’s Was a Thorn in Wall Street’s Side, Dies at 87",Mr. Abelson was an editor and a columnist at Barron’s magazine who delivered sharp and influential commentary on the stock markets.,2013-05-11T00:00:00Z,Alan Abelson,87,11,5,2013
"Bob Perry, Big Backer of ‘Swift Boat’ Ads, Dies at 80","Mr. Perry gave $4.4 million to a group for its attack ads accusing John Kerry, the 2004 Democratic presidential nominee, of overstating his military accomplishments.",2013-04-16T00:00:00Z,Bob Perry,80,16,4,2013
"Jewel Akens, Singer of ‘The Birds and the Bees,’ Dies at 79",Mr. Akens had a Top 10 hit in 1965 with “The Birds and the Bees.”,2013-03-07T00:00:00Z,Jewel Akens,79,7,3,2013
"Robert Lindgren, 89, Ballet Dancer and College Dean, Is Dead",Mr. Lindgren appeared with major American ballet companies before becoming the founding dean of the influential dance program at the North Carolina School of the Arts.,2013-05-15T00:00:00Z,Robert Lindgren,89,15,5,2013
"George Saimes, Top Defensive Back, Dies at 71","Saimes, regarded as one of the American Football League’s best safeties, spent seven seasons with the Buffalo Bills and helped them win A.F.L. championships in 1964 and ’65.",2013-03-11T00:00:00Z,George Saimes,71,11,3,2013
"William P. Clark, Influential Adviser in Reagan White House, Is Dead at 81","As one of President Ronald Reagan’s most trusted advisers, Mr. Clark nudged him toward more hard-line positions on military spending, arms control and involvement in Central America.",2013-08-13T00:00:00Z,William P. Clark,81,13,8,2013
"Thomas M. Messer, Museum Director Who Gave Guggenheim Cachet, Dies at 93",Mr. Messer’s charm and diplomacy attracted donations of major collections and his leadership helped established the Guggenheim among the world’s great museums of modern art.,2013-05-16T00:00:00Z,Thomas M. Messer,93,16,5,2013
"George Saimes, Top Defensive Back, Dies at 71","Saimes, regarded as one of the American Football League’s best safeties, spent seven seasons with the Buffalo Bills and helped them win A.F.L. championships in 1964 and ’65.",2013-03-11T00:00:00Z,George Saimes,71,11,3,2013
"Robert C. Holland, Governor for Fed, Dies at 87",Mr. Holland was the first staff member of the Federal Reserve System to be appointed directly to its Board of Governors.,2013-01-08T00:00:00Z,Robert C. Holland,87,8,1,2013
"Marc Rich, Financier and Famous Fugitive, Dies at 78","Mr. Rich, who made billions in commodities as founder of Glencore International, was a fugitive on charges of tax evasion and trading with Iran until he was pardoned by President Bill Clinton.",2013-06-27T00:00:00Z,Marc Rich,78,27,6,2013
"Jack Clement, Producer and Country Songwriter, Dies at 82","Mr. Clement worked with stars like Johnny Cash and Waylon Jennings, and had a long association with Charley Pride.",2013-08-09T00:00:00Z,Jack Clement,82,9,8,2013
"Henry Hope Reed, Architectural Historian, Is Dead at 97","Mr. Reed, a writer and critic, was known for being a fierce opponent of modern architecture.",2013-05-03T00:00:00Z,Henry Hope Reed,97,3,5,2013
4-Year-Old Boy Fatally Shoots 6-Year-Old in New Jersey,A New Jersey boy died on Tuesday after being shot in the head a day earlier by his 4-year-old neighbor while they were playing outside.,2013-04-10T00:00:00Z,4-Year-Old Boy Fatally Shoots 6-Year-Old in New Jersey,46,10,4,2013
"Vince Flynn, Wrote Best-Selling Thrillers, Dies at 47","Mr. Flynn, author of Mitch Rapp killer-for-hire thrillers, got his start selling a self-published book out of the trunk of his car.",2013-06-21T00:00:00Z,Vince Flynn,47,21,6,2013
"Saul Landau, Maker of Films With Leftist Edge, Dies at 77",Mr. Landau’s passion for asking what he called “the most intrusive questions” yielded penetrating cinematic profiles of leaders like Fidel Castro and Salvador Allende.,2013-09-12T00:00:00Z,Saul Landau,77,12,9,2013
"Doug Kenna II, a Winner in Football and Business, Dies at 88","Mr. Kenna, the quarterback on Army’s undefeated national championship team of 1944, went on to become a corporate executive and president of the National Association of Manufacturers.",2013-02-13T00:00:00Z,Doug Kenna II,88,13,2,2013
"Layhmond Robinson Jr., Who Paved Way for Black Journalists, Dies at 88","Mr. Robinson, one of the first black reporters at The New York Times in the 1950s and a local television news correspondent, inspired the next generation of black journalists.",2013-07-12T00:00:00Z,Layhmond Robinson Jr.,88,12,7,2013
"Mandawuy Yunupingu, Australian Musician and Educator, Dies at 56","Mr. Yunupingu was the former lead singer of the Australian indigenous band Yothu Yindi, which won fans with its combination of traditional sounds and modern pop and rock.",2013-06-04T00:00:00Z,Mandawuy Yunupingu,56,4,6,2013
"Bob Turley, Pitcher With a Blazing Fastball, Dies at 82","Mr. Turley was a Cy Young-winning, right-handed pitcher who helped lift the Yankees to a come-from-behind victory over the Milwaukee Braves in the 1958 World Series.",2013-03-31T00:00:00Z,Bob Turley,82,31,3,2013
James Gandolfini Is Dead at 51- a Complex Mob Boss in ‘The Sopranos’,Mr. Gandolfini won three Emmy Awards for his lead role as a New Jersey mob kingpin on the HBO drama.,2013-06-20T00:00:00Z,James Gandolfini Is Dead at 51- a Complex Mob Boss in ‘The Sopranos’,51,20,6,2013
"Cordell Mosson, Funk Guitarist, Dies at 60","Mr. Mosson played bass, drums and rhythm guitar in George Clinton’s group, Parliament-Funkadelic, for more than 40 years.",2013-04-26T00:00:00Z,Cordell Mosson,60,26,4,2013
"Doug Kenna II, a Winner in Football and Business, Dies at 88","Mr. Kenna, the quarterback on Army’s undefeated national championship team of 1944, went on to become a corporate executive and president of the National Association of Manufacturers.",2013-02-13T00:00:00Z,Doug Kenna II,88,13,2,2013
James Gandolfini Is Dead at 51- a Complex Mob Boss in ‘The Sopranos’,Mr. Gandolfini won three Emmy Awards for his lead role as a New Jersey mob kingpin on the HBO drama.,2013-06-20T00:00:00Z,James Gandolfini Is Dead at 51- a Complex Mob Boss in ‘The Sopranos’,51,20,6,2013
"Cordell Mosson, Funk Guitarist, Dies at 60","Mr. Mosson played bass, drums and rhythm guitar in George Clinton’s group, Parliament-Funkadelic, for more than 40 years.",2013-04-26T00:00:00Z,Cordell Mosson,60,26,4,2013
Robert G. Edwards Dies at 87- Changed Rules of Conception With First ‘Test Tube Baby’,"Dr. Edwards, a physiologist working out of the University of Cambridge in England, changed the prospects for infertile couples and forged a brand-new industry.",2013-04-11T00:00:00Z,Robert G. Edwards Dies at 87- Changed Rules of Conception With First ‘Test Tube Baby’,87,11,4,2013
"Chinua Achebe, African Literary Titan, Dies at 82","Mr. Achebe, the celebrated author of “Things Fall Apart,” wrote stirring essays and poignant poems rooted in his native Nigeria’s cities and countryside.",2013-03-23T00:00:00Z,Chinua Achebe,82,23,3,2013
"Walt Bellamy, Hall of Famer Traded by the Knicks, Dies at 74","Bellamy was a Hall of Fame center who was among the leading N.B.A. scorers and rebounders of his time, but he was overshadowed in his 14-year N.B.A. career by Wilt Chamberlain and Bill Russell.",2013-11-04T00:00:00Z,Walt Bellamy,74,4,11,2013
"Huell Howser, Folksy Public TV Host, Is Dead at 67","Mr. Howser roamed the highways of the Golden State as the host of “California’s Gold,” perhaps the most popular public television show in the state.",2013-01-11T00:00:00Z,Huell Howser,67,11,1,2013
"Louis Gerstner III, Son of Ex-I.B.M. Chief, Dies at 41","Louis V. Gerstner III, the son of the former chief executive of International Business Machines, served as president of the Gerstner Family Foundation.",2013-08-20T17:44:10Z,Louis Gerstner III,41,20,8,2013
"Richie Phillips, Union Leader Who Helped and Hurt Umpires, Dies at 72","Mr. Phillips quintupled the salaries of major league baseball umpires as their representative, but caused many of them to lose their jobs by having them resign en masse.",2013-06-05T00:00:00Z,Richie Phillips,72,5,6,2013
"Francis Lawrence, Former Rutgers President, Dies at 75","As leader of the New Jersey university for 12 years, Dr. Lawrence oversaw a building boom and a push for more diversity, but also faced a threat of a no-confidence vote.",2013-04-18T00:00:00Z,Francis Lawrence,75,18,4,2013
George Beverly Shea Dies at 104- Stirring Singer at Billy Graham Revivals,"Mr. Shea, a Grammy Award-winning gospel singer, performed live for an estimated 200 million people on Billy Graham’s evangelistic crusades.",2013-04-18T00:00:00Z,George Beverly Shea Dies at 104- Stirring Singer at Billy Graham Revivals,104,18,4,2013
"Gerald W. Lynch, Who Fought to Save John Jay College, Dies at 76","After New York City proposed closing or merging several colleges in the CUNY system in 1975, Dr. Lynch supported student protests and found savings in the budget.",2013-04-18T00:00:00Z,Gerald W. Lynch,76,18,4,2013
"Frank Bank, Lumpy on ‘Leave It to Beaver,’ Dies at 71","Mr. Bank’s character on the 1950s-’60s hit television series was the closest thing the show had to a bad guy, but even he was lovable.",2013-04-17T00:00:00Z,Frank Bank,71,17,4,2013
"Ronnie Biggs, Longtime Fugitive After the Great Train Robbery, Dies at 84","Mr. Biggs gained international fame for his role in one of Britain’s best-known crimes, the Great Train Robbery of 1963, and his subsequent life on the run.",2013-12-19T00:00:00Z,Ronnie Biggs,84,19,12,2013
"Paul F. Crouch, Who Built Evangelical TV Network, Dies at 79","Mr. Crouch and his wife were the faces of one of the largest Christian television empires, drawing tens of millions of dollars in donations annually.",2013-12-02T00:00:00Z,Paul F. Crouch,79,2,12,2013
"Fernando Alonso, a Founder of Cuban Ballet, Dies at 98","Mr. Alonso, who with his brother and then-wife, Alicia Alonso, began the Ballet Nacional de Cuba, was a dancer and teacher who mixed classical rigor with Latin physicality.",2013-08-03T00:00:00Z,Fernando Alonso,98,3,8,2013
"Michael Kammen, Historian of U.S. Psyche, Dies at 77","Mr. Kammen, a Pulitzer Prize-winning author, helped cast the form of the modern scholarly field known as memory studies.",2013-12-07T00:00:00Z,Michael Kammen,77,7,12,2013
"Robert Bowie, 104, Adviser to Truman, Eisenhower, Johnson and Carter, Dies","Robert R. Bowie, a Harvard foreign policy expert, was an analyst on the Cold War, national security and conflicts around the globe.",2013-11-21T00:00:00Z,Robert Bowie,104,21,11,2013
"Syd Field, Who Wrote the Book on Writing Screenplays, Dies at 77","Thanks to Mr. Field, a teacher who wrote the definitive guide to screenwriting, the term “plot points” is in the filmmaking vocabulary.",2013-11-19T00:00:00Z,Syd Field,77,19,11,2013
"Leo Branton Jr., Activists’ Lawyer, Dies at 91","Mr. Branton successfully defended the activist and academic Angela Davis in 1972, and also argued cases on behalf of the Black Panthers and the Communist Party.",2013-04-28T00:00:00Z,Leo Branton Jr.,91,28,4,2013
"Louis Waldon, Actor in Warhol Films Seized for Obscenity, Dies at 78","Mr. Waldon, one of the few Warhol Superstars who had acting experience, starred in “Lonesome Cowboys” and “Blue Movie.”",2013-12-11T00:00:00Z,Louis Waldon,78,11,12,2013
"Paul Walker, 40, Star of ‘Fast and Furious’ Movies, Dies in Crash","Mr. Walker, who was killed in a car crash, was best known for the “Fast and the Furious” movie series about street racing.",2013-12-02T00:00:00Z,Paul Walker,40,2,12,2013
"Herbert Mitgang, Wide-Ranging Author and Journalist, Dies at 93","Mr. Mitgang, a longtime reporter and editor for The New York Times, told of mountains of F.B.I. and C.I.A. records squirreled away on America&#8217-s most well-known writers.",2013-11-22T00:00:00Z,Herbert Mitgang,93,22,11,2013
"Walt Arfons, Who Built Cars That Set Speed Records, Dies at 96","Arfons, with his half-brother, Art, built some of the fastest racecars in the 1950s and ’60s.",2013-06-14T00:00:00Z,Walt Arfons,96,14,6,2013
"Rev. John Grange, Who Welcomed Bronx’s Latinos, Dies at 73",Father Grange helped rebuild the impoverished South Bronx parish where he was raised into a more hospitable place for Hispanic immigrants in New York City.,2013-10-18T00:00:00Z,Rev. John Grange,73,18,10,2013
"Ted Hood, Champion of America’s Cup and Innovator in Yachting, Dies at 86","Hood was a yachtsman, sailmaker, rigging builder and boat designer who captained Courageous, the 1974 America’s Cup winner.",2013-07-05T00:00:00Z,Ted Hood,86,5,7,2013
"Lothar Schmid, Chess Referee of the ‘Match of the Century,’ Dies at 85",Mr. Schmid was a German grandmaster who negotiated a truce between Bobby Fischer and Boris Spassky that saved their 1972 world-championship match.,2013-05-21T00:00:00Z,Lothar Schmid,85,21,5,2013
"Jake McNiece, Who Led Incorrigible D-Day Unit, Is Dead at 93","The Filthy 13 were famed during World War II as model soldiers, except for maybe the obeying orders part.",2013-02-14T00:00:00Z,Jake McNiece,93,14,2,2013
"Paul Walker, 40, Star of ‘Fast and Furious’ Movies, Dies in Crash","Mr. Walker, who was killed in a car crash, was best known for the “Fast and the Furious” movie series about street racing.",2013-12-02T00:00:00Z,Paul Walker,40,2,12,2013
"Adolph Herseth, 91, Trumpeter With Chicago Symphony, Dies",Mr. Herseth was the principal trumpeter of the symphony for 53 years and one of the most accomplished and influential orchestral trumpeters of his time.,2013-04-29T00:00:00Z,Adolph Herseth,91,29,4,2013
"Phil Woosnam, Pioneer of North American Soccer, Dies at 80",Mr. Woosnam played professionally in Britain before becoming the commissioner of the North American Soccer League.,2013-07-22T00:00:00Z,Phil Woosnam,80,22,7,2013
"Erich Priebke, Nazi Who Carried Out Massacre of 335 Italians, Dies at 100","Mr. Priebke, who was under house arrest in Rome, helped organize the execution of 335 men and boys at the Ardeatine Caves in 1944.",2013-10-12T00:00:00Z,Erich Priebke,100,,,
"Toshi Seeger, Wife of Folk-Singing Legend, Dies at 91","Ms. Seeger married Pete Seeger in 1943, and he credited her with figuring out how to turn his artistic concepts into commercial successes, calling her “the brains of the family.”",2013-07-12T00:00:00Z,Toshi Seeger,91,12,7,2013
"Donald J. Irwin, Connecticut Congressman and Treasurer, Dies at 86","Mr. Irwin, a Democrat, served three terms in Congress from southwestern Connecticut, two years as state treasurer and four years as mayor of Norwalk.",2013-07-10T00:00:00Z,Donald J. Irwin,86,10,7,2013
"Bill Mazer, Sports Fixture in New York, Dies at 92","Mr. Mazer, who spent more than 60 years in broadcasting, earned the nickname “The Amazin’ ” for his encyclopedic recall of sports facts.",2013-10-24T00:00:00Z,Bill Mazer,92,24,10,2013
"Kenneth Waltz, Foreign-Relations Expert, Dies at 88","Mr. Waltz, who was a senior research scholar at Columbia, was a pre-eminent thinker who was known for his contrarian, debate-provoking ideas.",2013-05-19T00:00:00Z,Kenneth Waltz,88,19,5,2013
"John Casablancas, Modeling Visionary, Dies at 70",Mr. Casablancas was the founder of the Elite Model Management agency and brought about the supermodel era in the fashion world.,2013-07-21T00:00:00Z,John Casablancas,70,21,7,2013
"Richard G. Stern, Writers’ Writer, Dies at 84",Mr. Stern’s classroom at the University of Chicago became a showcase for visiting literary eminences like Philip Roth.,2013-01-25T00:00:00Z,Richard G. Stern,84,25,1,2013
"Erwin Harris, Ad Executive Who Seized Cuban Assets, Dies at 91","Armed with a court order, Mr. Harris took planes, a Navy boat, cigars and a trainload of lard to cover an advertising contract the Castro government stopped paying.",2013-03-19T00:00:00Z,Erwin Harris,91,19,3,2013
"Richard Artschwager, Painter and Sculptor, Dies at 89","At a time when most artists worked in clearly determined styles, Mr. Artschwager slyly confounded the usual categories.",2013-02-11T00:00:00Z,Richard Artschwager,89,11,2,2013
"Ray Price, Groundbreaking, Hit-Making Country Singer, Dies at 87","Mr. Price placed more than 100 singles on the country charts, including hits like “Make the World Go Away,” and helped change the genre.",2013-12-17T00:00:00Z,Ray Price,87,17,12,2013
"Sidney Lanier, 90, Experimental Stage Producer, Is Dead","Mr. Lanier, then an Episcopal priest, made his church a home for the American Place Theater in 1963.",2013-10-06T00:00:00Z,Sidney Lanier,90,6,10,2013
"Dick Newick, Sailboat Design Visionary, Dies at  87",Mr. Newick designed boats with two and three hulls that would beat conventional yachts in major races. The AC72 catamarans competing for the America’s Cup descend from concepts he helped develop.,2013-09-16T00:00:00Z,Dick Newick,87,16,9,2013
"Saul Leiter, Photographer Who Captured New York’s Palette, Dies at 89","Where other eminent photographers in midcentury captured the city most often in sharp-edged black and white, Mr. Leiter was one of the first professionals to photograph it regularly in color.",2013-11-28T00:00:00Z,Saul Leiter,89,28,11,2013
"Harry Reems, Star of ‘Deep Throat’ Film, Dies at 65",Mr. Reems became America’s first bona fide male porn star by appearing in the 1972 movie “Deep Throat.”,2013-03-21T00:00:00Z,Harry Reems,65,21,3,2013
"Joseph Napolitan, Pioneering Campaign Consultant, Dies at 84",Mr. Napolitan&#8217-s use of polling and advertising heralded the rise of independent political strategists like himself and the waning power of party organizations in managing campaigns.,2013-12-12T00:00:00Z,Joseph Napolitan,84,12,12,2013
"Larry Benoit, ‘Babe Ruth for Hunters,’ Is Dead at 89",Mr. Benoit tracked whitetail deer through northern New England and southern Canada for more than seven decades and became one of the nation’s most revered deer hunters.,2013-10-17T00:00:00Z,Larry Benoit,89,17,10,2013
"Les Brown, Pioneer in Television Journalism, Dies at 84",Mr. Brown founded and edited a groundbreaking magazine that followed the growth of the broadcast medium and produced an authoritative encyclopedia about it.,2013-11-15T00:00:00Z,Les Brown,84,15,11,2013
"Don James, Longtime Washington Huskies Football Coach, Dies at 80","During his 18-season tenure as the coach, James, known as the Dawgfather, led Washington to 10 bowl victories, 6 conference titles and a share of the 1991 national championship with Miami.",2013-10-22T00:00:00Z,Don James,80,22,10,2013
"Carmine Infantino, Reviver of Batman and Flash, Dies at 87","Mr. Infantino, a creator of a spate of superheroes, rose from artist to editor to publisher of the comic-book titan DC Comics.",2013-04-06T00:00:00Z,Carmine Infantino,87,6,4,2013
"Evan Connell, Novelist of Many Genres, Is Dead at 88","Mr. Connell’s diverse writing included two books, “Mrs. Bridge” and “Mr. Bridge,” that ended up being made into a film starring Paul Newman and Joanne Woodward.",2013-01-11T00:00:00Z,Evan Connell,88,11,1,2013
"Gilbert Taylor, Celebrated Cinematographer, Dies at 99","Mr. Taylor brought a cinéma vérité sensibility to black-and-white pictures like “Dr. Strangelove,” and also masterminded the bright, clean shots for “Star Wars.”",2013-08-27T00:00:00Z,Gilbert Taylor,99,27,8,2013
"David Wall, a Prince Among Dancers, Is Dead at 67","Mr. Wall, a handsome redhead widely known as Ginger, became the youngest principal dancer in the history of the Royal Ballet in 1966.",2013-06-21T00:00:00Z,David Wall,67,21,6,2013
"Conrad Bain, Father on ‘Diff’rent Strokes’, Dies at 89",Mr. Bain was a stage and film actor best known for a late-career TV role as the white adoptive father of two poor black boys on the long-running comedy “Diff’rent Strokes.”,2013-01-17T00:00:00Z,Conrad Bain,89,17,1,2013
"Robert H. Levenson, a Visionary Adman, Dies at 83","Mr. Levenson was an advertising executive who helped produce some of the mid-20th century’s most memorable campaigns for clients like Volkswagen, El Al and Sara Lee.",2013-01-18T00:00:00Z,Robert H. Levenson,83,18,1,2013
"Martin Zweig, Who Forecast ’87 Market Crash, Dies at 70","The investor, author and analyst had a history of accurately predicting the stock market.",2013-02-22T00:00:00Z,Martin Zweig,70,,,
