headline , snippet , date,name,age,day of death,month of death,year of death
"Wadih el-Safi, 91, a Favorite Singer in the Arab World","Mr. Safi helped spread colloquial Lebanese Arabic outside of Lebanon, becoming known to many Arabs as “the man with the golden voice.”",2013-10-15T00:00:00Z,Wadih el-Safi,91,15,10,2013
"Imre Molnar, Provost at College for Creative Studies, Dies at 61",He was instrumental in the expansion of the transportation design program and helped create an M.F.A. in fine arts.,2013-01-03T14:00:54Z,Imre Molnar,61,3,1,2013
"Wadih el-Safi, 91, a Favorite Singer in the Arab World","Mr. Safi helped spread colloquial Lebanese Arabic outside of Lebanon, becoming known to many Arabs as “the man with the golden voice.”",2013-10-15T00:00:00Z,Wadih el-Safi,91,15,10,2013
"Milo O’Shea, an Actor of the Stage and Screen, Dies at 86","Mr. O’Shea was an Irish actor known for his roles in films like “Ulysses,” “Barbarella” and “The Verdict” and plays like “Staircase” and “Mass Appeal.”",2013-04-04T00:00:00Z,Milo O’Shea,86,4,4,2013
"Antonio Frasconi, Woodcut Master, Dies at 93","Mr. Frasconi used his woodcuts to comment on everything from the dictatorship in Uruguay, where he grew up, to the Kent State shootings of 1970.",2013-01-22T00:00:00Z,Antonio Frasconi,93,22,1,2013
"Joey Covington, Rock Drummer, Dies at 67",Mr. Covington was a replacement drummer for Jefferson Airplane and a founding member of Hot Tuna.,2013-06-08T00:00:00Z,Joey Covington,67,8,6,2013
"Wolfgang Sawallisch, Conductor, Dies at 89","Mr. Sawallisch, a conductor steeped in German tradition, gained a new lease on life at the Philadelphia Orchestra.",2013-02-25T00:00:00Z,Wolfgang Sawallisch,89,25,2,2013
"James Martin, Technology Consultant and Oxford Benefactor, Dies at 79",Mr. Martin was an influential figure in information technology who used his fortune to study the problems and opportunities confronting the 21st-century world.,2013-07-03T00:00:00Z,James Martin,79,3,7,2013
"Stuart Freeborn, ‘Star Wars’ Makeup Artist, Dies at 98","Mr. Freeborn created characters like Yoda and did extensive work on dozens of other films. George Lucas, the “Star Wars” director, called him “a makeup legend.”",2013-02-08T00:00:00Z,Stuart Freeborn,98,8,2,2013
"Arthur Storch, Stage Director, Dies at 87","Mr. Storch, an Actors Studio alumnus, directed on and off Broadway and created Syracuse Stage, a regional theater he brought to national prominence.",2013-03-11T00:00:00Z,Arthur Storch,87,11,3,2013
"Bob Brozman, Guitarist, Is Dead at 59",Mr. Brozman was a self-described “roving guitar anthropologist” who collaborated with musicians from Northern Ireland to Papua New Guinea.,2013-05-02T00:00:00Z,Bob Brozman,59,2,5,2013
"Stanley Kauffmann, Critic, Dies at 97- Spent a Half-Century at the Movies ","Mr. Kauffmann&#8217-s reflective movie reviews appeared for 55 years in The New Republic, until his last months.",2013-10-10T00:00:00Z,Stanley Kauffmann,97,10,10,2013
"John Thomas, Who Set Standard in High Jump, Dies at 71","Mr. Thomas, the first high jumper to clear 7 feet indoors, was perhaps best known for his cold war rivalry with Valery Brumel of the Soviet Union.",2013-01-20T00:00:00Z,John Thomas,71,20,1,2013
"Bill Austin, 84, Pro Bowl Lineman, Dies","Mr. Austin, a 13th-round draft choice in 1949, played for the Giants for seven seasons and served as a coach for several N.F.L. teams.",2013-05-31T00:00:00Z,Bill Austin,84,31,5,2013
"Robert W. Wilson, Frugal Philanthropist, Dies at 87","Mr. Wilson, the founding partner of the firm Wilson & Associates, donated about $600 million to causes including environmental conservation and Roman Catholic education.",2013-12-28T00:00:00Z,Robert W. Wilson,87,28,12,2013
"Andrew P. O’Rourke, 79, Rival to Mario Cuomo, Dies","Mr. O’Rourke, a Republican, managed Westchester County for 14 years and ran for New York governor against the popular incumbent in 1986.",2013-01-05T00:00:00Z,Andrew P. O’Rourke,79,5,1,2013
"Taylor Mead, Bohemian and Actor, Dies at 88",Mr. Mead collaborated with Andy Warhol in the 1960s to make several curious films.,2013-05-10T00:00:00Z,Taylor Mead,88,10,5,2013
"Yusef Lateef, Innovative Jazz Saxophonist and Flutist, Dies at 93","Mr. Lateef crossed musical boundaries, playing world music before world music had a name.",2013-12-25T00:00:00Z,Yusef Lateef,93,25,12,2013
Bill Foulkes Dies at 81- Soccer Star Survived Team’s Plane Crash,"Sustaining only minor injuries in the crash in Munich in February 1958 that killed eight starting players, the rugged defender went on to help Manchester United rebuild.",2013-12-01T00:00:00Z,Bill Foulkes Dies at 81- Soccer Star Survived Team’s Plane Crash,81,1,12,2013
"Peter Hauri, Psychologist Who Focused on Insomnia, Dies at 79",Dr. Hauri was one of the first researchers to study the mechanics of a good night’s sleep.,2013-02-08T00:00:00Z,Peter Hauri,79,8,2,2013
"Ferrol Sams, Doctor Turned Novelist, Dies at 90","Dr. Sams, a country doctor in Georgia, was in his 50s before he began a career as a novelist, drawing on his practice and rural upbringing for material.",2013-02-02T00:00:00Z,Ferrol Sams,90,2,2,2013
"Vincent A. Marchiselli, Ex-New York Legislator From Bronx, Dies at 85","Mr. Marchiselli, elected in 1974 as a reformer, was a defiant voice against his borough’s scandal-scarred Democratic organization.",2013-12-05T00:00:00Z,Vincent A. Marchiselli,85,5,12,2013
"Elliott Reid, Sleuth in ‘Gentlemen Prefer Blondes,’ Dies at 93","Mr. Reid played Ernie Malone, a private detective hired to investigate Lorelei Lee, played by Marilyn Monroe.",2013-06-26T00:00:00Z,Elliott Reid,93,26,6,2013
"Gates Brown, Tigers’ Clutch Pinch-Hitter, Is Dead at 74","Mr. Brown hit .370, including .450 as a pinch-hitter, to help lead Detroit to the World Series in 1968.",2013-09-29T00:00:00Z,Gates Brown,74,29,9,2013
"Eddie Bond, 79, Radio Host And Rockabilly Singer","Eddie Bond, a rockabilly singer and radio host who once told a teenage  Elvis Presley  that he would be better off driving a truck than trying to make it in music, died on Wednesday at his home in Bolivar, Tenn. He was 79.&#xa-   &#xa-His death was c",2013-04-01T00:00:00Z,Eddie Bond,79,1,4,2013
"Tony Lip, Mobster in ‘The Sopranos,’ Dies at 82","Before becoming an actor known for playing a mobster, Mr. Lip worked at the Copacabana nightclub in Manhattan.",2013-01-07T00:00:00Z,Tony Lip,82,7,1,2013
"John Merwin, Angler With Story Angles, Dies at 66","Mr. Merwin lived to fish and chronicle it. An editor and writer for Field & Stream, he also founded Rod & Reel magazine and wrote a number of critically acclaimed books.",2013-02-27T00:00:00Z,John Merwin,66,27,2,2013
"Donald Shirley, a Pianist With His Own Genre, Dies at 86","Mr. Shirley, who was discouraged from pursuing a career in classical music because he was black, gathered many types of music under one umbrella.",2013-04-29T00:00:00Z,Donald Shirley,86,29,4,2013
"Manfred Rommel, Son of German Field Marshal, Dies at 84","Mr. Rommel, a three-term mayor of Stuttgart, was a liberal voice in postwar West Germany, supporting immigrant rights and strengthening the city’s Jewish population.",2013-11-11T00:00:00Z,Manfred Rommel,84,11,11,2013
"Tadeusz Mazowiecki, Ex-Premier of Poland, Dies at 86",Mr. Mazowiecki helped form the Solidarity trade union movement and became the first non-Communist to head an Eastern bloc nation since the late 1940s.,2013-10-29T00:00:00Z,Tadeusz Mazowiecki,86,29,10,2013
"Bob Teague, WNBC Reporter Who Helped Integrate TV News, Is Dead at 84","When he joined WNBC-TV, there were few black reporters. But Mr. Teague was eventually disillusioned with TV newscasts.",2013-03-29T00:00:00Z,Bob Teague,84,29,3,2013
"Damon Harris, Who Sang With the Temptations, Dies at 62",Mr. Harris joined the Temptations in 1971 and was the lead singer on “Papa Was a Rollin’ Stone.”,2013-02-26T00:00:00Z,Damon Harris,62,26,2,2013
"Mike Hegan, 71, Player Who Made Long Journey Home ","Mr. Hegan, who played for several teams in the major leagues, including the Yankees, returned to his Cleveland and became a broadcaster.",2013-12-29T00:00:00Z,Mike Hegan,71,29,12,2013
