LAT,LON                                                                                                                  ,Urban,Rural,"Housing units, total","low access, people at 1 mile "
40.8374214,-73.8293008,1,0,1564,0
40.8267063,-73.9074678,1,0,2496,0
40.8317422,-73.9301593,1,0,2595,0
40.8363125,-73.929322,1,0,1969,0
40.8331364,-73.8363127,1,0,675,0
40.8304775,-73.9225235,1,0,2605,0
40.8352046,-73.9199777,1,0,2172,0
40.8367451,-73.925441,1,0,2689,0
40.8429687,-73.8455113,1,0,1566,0
40.8420908,-73.9270027,1,0,1264,0
40.8384912,-73.8475792,1,0,757,0
40.840856,-73.850871,1,0,1027,0
40.8473921,-73.9237042,1,0,2555,0
40.8513528,-73.9194602,1,0,663,0
40.8366233,-73.8505251,1,0,1112,0
40.8430677,-73.9150369,1,0,1614,0
40.8408055,-73.8582794,1,0,3954,0
40.8384723,-73.8565194,1,0,3070,0
40.8404508,-73.9234996,1,0,1841,0
40.8361225,-73.8589736,1,0,2269,0
40.8455082,-73.9197793,1,0,386,0
40.8429767,-73.9203643,1,0,1881,0
40.8494359,-73.9182368,1,0,1015,0
40.8480615,-73.9166862,1,0,1915,0
40.8375353,-73.86482,1,0,1536,0
40.8371834,-73.8622691,1,0,2498,0
40.8481946,-73.9132696,1,0,1703,0
40.8373904,-73.869755,1,0,2272,0
40.839647,-73.9196115,1,0,418,0
40.8434685,-73.8723309,1,0,430,0
40.8382736,-73.9181358,1,0,1144,0
40.8376823,-73.9160774,1,0,1611,0
40.8356844,-73.8552135,1,0,1159,0
40.8405428,-73.9150909,1,0,1741,0
40.8550171,-73.868507,1,0,1117,0
40.8564763,-73.8654304,1,0,1288,0
40.8527445,-73.8663009,1,0,1783,0
40.8401234,-73.9109711,1,0,2151,0
40.8468094,-73.9110498,1,0,1714,0
40.8444741,-73.9132423,1,0,604,0
40.8440198,-73.9104999,1,0,556,0
40.8534896,-73.8635363,1,0,2391,0
40.8461072,-73.9071728,1,0,1727,0
40.8437862,-73.9072135,1,0,1055,0
40.8492873,-73.8660154,1,0,1010,0
40.8461445,-73.9024996,1,0,424,0
40.8469746,-73.8633164,1,0,898,0
40.8495538,-73.908715,1,0,1490,0
40.8482057,-73.9046739,1,0,968,0
40.8521923,-73.9045361,1,0,1016,0
40.8513349,-73.9034407,1,0,1572,0
40.8450904,-73.8672594,1,0,637,0
40.8606549,-73.8973142,1,0,331,0
40.8600426,-73.8995705,1,0,1467,0
40.8562676,-73.9019054,1,0,1176,0
40.8437093,-73.8610752,1,0,847,0
40.8588899,-73.9028771,1,0,2511,0
40.8416182,-73.8688617,1,0,1261,0
40.8531499,-73.9061851,1,0,1853,0
40.8524326,-73.9115326,1,0,1916,0
40.8462492,-73.8575203,1,0,835,0
40.8528844,-73.9155029,1,0,1517,0
40.8551013,-73.9135611,1,0,1116,0
40.8516098,-73.8611557,1,0,778,0
40.8553118,-73.9187867,1,0,635,0
40.8553409,-73.8584097,1,0,1219,0
40.8574375,-73.9131413,1,0,0,0
40.8517064,-73.8557006,1,0,991,0
40.8565246,-73.9077291,1,0,2086,0
40.847132,-73.8549662,1,0,970,0
40.8610106,-73.9045321,1,0,1889,0
40.8484985,-73.8524773,1,0,810,0
40.8605391,-73.9089561,1,0,2072,0
40.8443911,-73.850219,1,0,646,0
40.8601938,-73.9144391,1,0,657,0
40.86665,-73.9058809,1,0,987,0
40.8647888,-73.9044333,1,0,2124,0
40.8417808,-73.8320781,1,0,2032,0
40.866188,-73.9002477,1,0,2041,0
40.8474444,-73.8341394,1,0,1391,0
40.8459921,-73.8306465,1,0,2549,0
40.8693417,-73.9011885,1,0,1339,0
40.8722603,-73.9001321,1,0,2402,0
40.865039,-73.9094977,1,0,1344,0
40.8739329,-73.9032846,1,0,2555,0
40.8404245,-73.8226412,1,0,1836,0
40.8449351,-73.8153565,1,0,1330,0
40.8525216,-73.8209505,1,0,217,0
40.878402,-73.9014063,1,0,1766,0
40.8824834,-73.8972276,1,0,2819,0
40.883807,-73.8906788,1,0,1760,0
40.8809249,-73.9023158,1,0,1307,0
40.8493866,-73.8387219,1,0,61,0
40.8864175,-73.9025909,1,0,1574,0
40.849174,-73.8478592,1,0,484,0
40.8827147,-73.9046564,1,0,1185,0
40.854292,-73.8514783,1,0,1209,0
40.879555,-73.9072892,1,0,1726,0
40.8827196,-73.9227136,1,0,905,0
40.8792851,-73.9158389,1,0,2627,0
40.8848984,-73.9085646,1,0,2005,0
40.8553748,-73.8450048,1,0,721,0
40.8849993,-73.9117786,1,0,1666,0
40.8522011,-73.8312345,1,0,2592,0
40.8832804,-73.9179116,1,0,558,0
40.8636573,-73.8223933,1,0,4183,0
40.8931975,-73.9105904,1,0,2590,0
40.8986778,-73.9151742,1,0,1351,0
40.8612344,-73.8360747,1,0,1284,0
40.8620468,-73.8424522,1,0,577,0
40.8615486,-73.8455438,1,0,638,0
40.8619716,-73.8487247,1,0,609,0
40.8619545,-73.8515677,1,0,601,0
40.9138727,-73.9111066,1,0,0,0
40.9053119,-73.9075469,1,0,2676,0
40.8613415,-73.8597052,1,0,1249,0
40.8621878,-73.8554778,1,0,1077,0
40.8617366,-73.8631301,1,0,1420,0
40.8616561,-73.8660255,1,0,2125,0
40.8594756,-73.8692323,1,0,1849,0
40.8633818,-73.8689413,1,0,1600,0
40.8600152,-73.8743058,1,0,600,0
40.8942652,-73.9052413,1,0,749,0
40.8684896,-73.8688853,1,0,2569,0
40.9062277,-73.9025219,1,0,909,0
40.8684379,-73.8658167,1,0,1353,0
40.8684405,-73.8629232,1,0,1721,0
40.8684165,-73.8600256,1,0,598,0
40.9096678,-73.8981695,1,0,595,0
40.8683644,-73.8571317,1,0,588,0
40.9040642,-73.8986561,1,0,1638,0
40.8694471,-73.8530706,1,0,2060,0
40.8685221,-73.8482552,1,0,632,0
40.8951029,-73.9000859,1,0,1090,0
40.8668437,-73.8359921,1,0,656,0
40.8739752,-73.8426048,1,0,2443,0
40.8403016,-73.8834386,1,0,687,0
40.8668405,-73.8431182,1,0,907,0
40.8422924,-73.8795815,1,0,2143,0
40.8445641,-73.8827622,1,0,2476,0
40.8736354,-73.849235,1,0,885,0
40.8453745,-73.8858159,1,0,1347,0
40.8423825,-73.8878235,1,0,741,0
40.8407598,-73.8893061,1,0,626,0
40.8753072,-73.855942,1,0,624,0
40.8444127,-73.8918108,1,0,763,0
40.8426434,-73.892949,1,0,716,0
40.8730921,-73.8590214,1,0,794,0
40.8472204,-73.8873781,1,0,1695,0
40.8738025,-73.8632803,1,0,819,0
40.8486733,-73.8901415,1,0,1739,0
